t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,0.003043961344719843,0.8069113511690362,1.0015504076004063,0.0005793037486582402,0.0005793037486582402,0.1,False,0.0,0.003043961344719843
1,0.0010354201041302457,0.8687297452246305,1.0046332380277798,-0.0024351690757758743,-0.0024351690757758743,0.1,False,0.0,0.0010354201041302457
2,0.01036808396536583,0.922341406918434,1.0083326723531703,-0.0008283360833041966,-0.0008283360833041964,0.1,False,0.0,0.01036808396536583
3,0.011261118723432505,0.963466615496226,1.0125662560768325,-0.008294467172292664,-0.008294467172292664,0.1,False,0.0,0.011261118723432505
4,0.00017684412871852765,0.9898477830625751,1.0172080747439,-0.009008894978746004,-0.009008894978746004,0.1,False,0.0,0.00017684412871852765
5,0.0038592887471834867,0.9999465030950372,1.0221107942098955,-0.00014147530297482213,-0.00014147530297482105,0.1,False,0.0,0.0038592887471834867
6,0.02852506633827131,1.0,1.0271130085713926,-0.0030874309977467897,-0.0030874309977467897,0.1,False,0.0,0.02852506633827131
7,0.04421901541584855,1.0,1.0321151461022677,-0.022820053070617047,-0.022820053070617047,0.1,False,0.0,0.04421901541584855
8,0.018831284282303073,1.0,1.0371167832635153,-0.03537521233267884,-0.03537521233267884,0.1,False,0.0,0.018831284282303073
9,-0.012182027662471579,1.0,1.0421179956412514,-0.01506502742584246,-0.01506502742584246,0.1,False,0.0,-0.012182027662471579
10,-0.025852616059763918,1.0,1.0471188478911164,0.009745622129977264,0.009745622129977264,0.1,False,0.0,-0.025852616059763918
11,-0.019572408309540334,1.0,1.0521193953124701,0.020682092847811136,0.020682092847811136,0.1,False,0.0,-0.019572408309540334
12,-0.05898827001009097,1.0,1.057119685195437,0.015657926647632266,0.015657926647632266,0.1,False,0.0,-0.05898827001009097
13,-0.05398529773517798,1.0,1.0621197579736674,0.04719061600807278,0.04719061600807278,0.1,False,0.0,-0.05398529773517798
14,-0.06674471695878471,1.0,1.0671196482109147,0.04318823818814239,0.04318823818814239,0.1,False,0.0,-0.06674471695878471
15,-0.06457513637211656,1.0,1.0721193854454534,0.05339577356702777,0.05339577356702777,0.1,False,0.0,-0.06457513637211656
16,-0.05865863919011629,1.0,1.0771189949128837,0.05166010909769325,0.05166010909769325,0.1,False,0.0,-0.05865863919011629
17,-0.04924168310105797,1.0,1.0821184981648835,0.04692691135209304,0.04692691135209304,0.1,False,0.0,-0.04924168310105797
18,-0.02733554315968847,1.0,1.0871179135989333,0.03939334648084638,0.03939334648084638,0.1,False,0.0,-0.02733554315968847
19,0.0023812736477960682,1.0,1.0921172569118596,0.02186843452775078,0.02186843452775078,0.1,False,0.0,0.0023812736477960682
20,0.0006461661204968437,1.0,1.097116541488182,-0.0019050189182368547,-0.0019050189182368516,0.1,False,0.0,0.0006461661204968437
21,0.028166452670391712,1.0,1.1021157787326648,-0.000516932896397475,-0.000516932896397475,0.1,False,0.0,0.028166452670391712
22,0.01285692881048373,1.0,1.1071149783551084,-0.022533162136313373,-0.022533162136313373,0.1,False,0.0,0.01285692881048373
23,0.015476688339743055,1.0,1.1121141486142612,-0.010285543048386985,-0.010285543048386985,0.1,False,0.0,0.015476688339743055
24,0.028588448155786005,1.0,1.1171132965267327,-0.012381350671794446,-0.012381350671794446,0.1,False,0.0,0.028588448155786005
25,0.026464599344311987,1.0,1.122112428045942,-0.022870758524628804,-0.022870758524628804,0.1,False,0.0,0.026464599344311987
26,0.0026056895904638176,1.0,1.127111548215411,-0.02117167947544959,-0.02117167947544959,0.1,False,0.0,0.0026056895904638176
27,-0.019134022773719714,1.0,1.1321106613000858,-0.0020845516723710543,-0.002084551672371052,0.1,False,0.0,-0.019134022773719714
28,-0.02385042915266018,1.0,1.1371097708988422,0.015307218218975772,0.015307218218975772,0.1,False,0.0,-0.02385042915266018
29,-0.013234892732242556,1.0,1.1421088800408785,0.019080343322128143,0.019080343322128143,0.1,False,0.0,-0.013234892732242556
30,-0.031179909539023807,1.0,1.1471079912682975,0.010587914185794045,0.010587914185794045,0.1,False,0.0,-0.031179909539023807
31,-0.02909703945053836,1.0,1.1521071067068716,0.024943927631219047,0.024943927631219047,0.1,False,0.0,-0.02909703945053836
32,-0.023399890535881117,1.0,1.1571062281266677,0.02327763156043069,0.02327763156043069,0.1,False,0.0,-0.023399890535881117
33,-0.004509281569015498,1.0,1.1621053569939985,0.018719912428704893,0.018719912428704893,0.1,False,0.0,-0.004509281569015498
34,0.0026025051963319127,1.0,1.1671044945159297,0.003607425255212399,0.003607425255212399,0.1,False,0.0,0.0026025051963319127
35,0.007690922056056122,1.0,1.1721036416784167,-0.0020820041570655304,-0.0020820041570655296,0.1,False,0.0,0.007690922056056122
36,-0.004890930647836584,1.0,1.177102799278973,-0.006152737644844898,-0.006152737644844898,0.1,False,0.0,-0.004890930647836584
37,-0.012155025988430162,1.0,1.1821019679546625,0.003912744518269267,0.003912744518269267,0.1,False,0.0,-0.012155025988430162
38,0.012199123336863075,1.0,1.1871011482060692,0.00972402079074413,0.00972402079074413,0.1,False,0.0,0.012199123336863075
39,0.03830321088584419,1.0,1.1921003404178347,-0.009759298669490461,-0.009759298669490457,0.1,False,0.0,0.03830321088584419
40,0.008039956463876922,1.0,1.1970995448762387,-0.03064256870867535,-0.03064256870867535,0.1,False,0.0,0.008039956463876922
41,0.03090533294634077,1.0,1.202098761784255,-0.006431965171101538,-0.00643196517110154,0.1,False,0.0,0.03090533294634077
42,0.050770705809087185,1.0,1.207097991274436,-0.024724266357072616,-0.024724266357072616,0.1,False,0.0,0.050770705809087185
43,0.05730670026934383,1.0,1.2120972334199396,-0.04061656464726975,-0.04061656464726975,0.1,False,0.0,0.05730670026934383
44,0.0475847476069857,1.0,1.217096488243961,-0.04584536021547506,-0.04584536021547506,0.1,False,0.0,0.0475847476069857
45,0.027752096009734734,1.0,1.2220957557278003,-0.038067798085588564,-0.038067798085588564,0.1,False,0.0,0.027752096009734734
46,0.04806161798876891,1.0,1.227095035817753,-0.022201676807787788,-0.022201676807787788,0.1,False,0.0,0.04806161798876891
47,0.07884243241774051,1.0,1.2320943284310013,-0.03844929439101513,-0.03844929439101513,0.1,False,0.0,0.07884243241774051
48,0.09836617805044931,1.0,1.2370936334606384,-0.06307394593419241,-0.06307394593419241,0.1,False,0.0,0.09836617805044931
49,0.1010794165921691,1.0,1.2420929507799605,-0.07869294244035946,-0.07869294244035946,0.1,False,0.0,0.1010794165921691
50,0.08302837752148441,1.0,1.2470922802461195,-0.08086353327373529,-0.08086353327373529,0.1,False,0.0,0.08302837752148441
51,0.03581533168037034,1.0,1.2520916217032365,-0.06642270201718753,-0.06642270201718753,0.1,False,0.0,0.03581533168037034
52,0.022449017434889418,1.0,1.2570909749850514,-0.028652265344296275,-0.028652265344296275,0.1,False,0.0,0.022449017434889418
53,0.027241288223341004,1.0,1.2620903399171686,-0.017959213947911536,-0.017959213947911536,0.1,False,0.0,0.027241288223341004
54,-0.003970163779139434,1.0,1.2670897163189698,-0.021793030578672806,-0.021793030578672806,0.1,False,0.0,-0.003970163779139434
55,0.0008853636675614831,1.0,1.2720891040052262,0.0031761310233115476,0.0031761310233115437,0.1,False,0.0,0.0008853636675614831
56,0.010192369849794753,1.0,1.2770885027874666,-0.0007082909340491865,-0.0007082909340491867,0.1,False,0.0,0.010192369849794753
57,0.022773812181600614,1.0,1.2820879124751268,-0.008153895879835803,-0.008153895879835803,0.1,False,0.0,0.022773812181600614
58,-0.005988483172998975,1.0,1.2870873328765213,-0.01821904974528049,-0.01821904974528049,0.1,False,0.0,-0.005988483172998975
59,-0.019527807787199456,1.0,1.2920867637996531,0.00479078653839918,0.0047907865383991785,0.1,False,0.0,-0.019527807787199456
60,-0.024195393994641854,1.0,1.297086205052892,0.015622246229759565,0.015622246229759565,0.1,False,0.0,-0.024195393994641854
61,-0.04121136616091993,1.0,1.3020856564455399,0.019356315195713486,0.019356315195713486,0.1,False,0.0,-0.04121136616091993
62,0.002426003845957399,1.0,1.3070851177882972,0.03296909292873595,0.03296909292873595,0.1,False,0.0,0.002426003845957399
63,-0.0042045580528992325,1.0,1.312084588893646,-0.0019408030767659194,-0.0019408030767659229,0.1,False,0.0,-0.0042045580528992325
64,0.0020112904730999258,1.0,1.317084069576165,0.003363646442319386,0.003363646442319387,0.1,False,0.0,0.0020112904730999258
65,-0.003362296028811742,1.0,1.3220835596527791,-0.0016090323784799408,-0.0016090323784799419,0.1,False,0.0,-0.003362296028811742
66,0.029918598670708504,1.0,1.3270830589429647,0.0026898368230493935,0.0026898368230493935,0.1,False,0.0,0.029918598670708504
67,0.05120655134848829,1.0,1.3320825672689067,-0.023934878936566803,-0.023934878936566803,0.1,False,0.0,0.05120655134848829
68,0.05187403291374525,1.0,1.3370820844556208,-0.04096524107879063,-0.04096524107879063,0.1,False,0.0,0.05187403291374525
69,-0.005609623192215315,1.0,1.3420816103310447,-0.0414992263309962,-0.0414992263309962,0.1,False,0.0,-0.005609623192215315
70,-0.0065930731234381925,1.0,1.3470811447261026,0.004487698553772252,0.00448769855377226,0.1,False,0.0,-0.0065930731234381925
71,0.00816597741862702,1.0,1.352080687474749,0.005274458498750554,0.005274458498750554,0.1,False,0.0,0.00816597741862702
72,0.028159361016926086,1.0,1.3570802384139935,-0.006532781934901616,-0.006532781934901616,0.1,False,0.0,0.028159361016926086
73,0.010321110908937425,1.0,1.3620797973839083,-0.022527488813540872,-0.022527488813540872,0.1,False,0.0,0.010321110908937425
74,0.041398225072449765,1.0,1.3670793642276273,-0.00825688872714994,-0.00825688872714994,0.1,False,0.0,0.041398225072449765
75,0.007722858680142604,1.0,1.3720789387913308,-0.03311858005795981,-0.03311858005795981,0.1,False,0.0,0.007722858680142604
76,-0.012554859749637453,1.0,1.3770785209242236,-0.006178286944114084,-0.006178286944114084,0.1,False,0.0,-0.012554859749637453
77,0.009242230024834963,1.0,1.382078110478504,0.010043887799709963,0.010043887799709963,0.1,False,0.0,0.009242230024834963
78,0.009675132675030349,1.0,1.3870777073093303,-0.007393784019867971,-0.007393784019867966,0.1,False,0.0,0.009675132675030349
79,0.047206568906383174,1.0,1.3920773112747797,-0.00774010614002428,-0.00774010614002428,0.1,False,0.0,0.047206568906383174
80,0.044023529587146615,1.0,1.3970769222358053,-0.03776525512510654,-0.03776525512510654,0.1,False,0.0,0.044023529587146615
81,0.019290586419298743,1.0,1.4020765400561899,-0.03521882366971729,-0.03521882366971729,0.1,False,0.0,0.019290586419298743
82,0.003654386833617626,1.0,1.4070761646024954,-0.015432469135438996,-0.015432469135438992,0.1,False,0.0,0.003654386833617626
83,-0.018694183386412388,1.0,1.4120757957440178,-0.002923509466894101,-0.002923509466894101,0.1,False,0.0,-0.018694183386412388
84,-0.042034993432041375,1.0,1.4170754333527313,0.01495534670912991,0.014955346709129907,0.1,False,0.0,-0.042034993432041375
85,-0.020684442940074696,1.0,1.42207507730324,0.0336279947456331,0.0336279947456331,0.1,False,0.0,-0.020684442940074696
86,-0.0026420067037876507,1.0,1.427074727472724,0.01654755435205976,0.01654755435205976,0.1,False,0.0,-0.0026420067037876507
87,0.02455363940174856,1.0,1.4320743837408896,0.0021136053630301205,0.0021136053630301196,0.1,False,0.0,0.02455363940174856
88,0.00710686635252346,1.0,1.4370740459899154,-0.01964291152139885,-0.01964291152139885,0.1,False,0.0,0.00710686635252346
89,0.03634313336257307,1.0,1.4420737141044033,-0.005685493082018768,-0.005685493082018768,0.1,False,0.0,0.03634313336257307
90,0.025725638700453825,1.0,1.4470733879713262,-0.029074506690058455,-0.029074506690058455,0.1,False,0.0,0.025725638700453825
91,0.04986935708318119,1.0,1.4520730674799798,-0.020580510960363063,-0.020580510960363063,0.1,False,0.0,0.04986935708318119
92,0.02996292952738501,1.0,1.45707275252193,-0.03989548566654495,-0.03989548566654495,0.1,False,0.0,0.02996292952738501
93,0.006017250929215863,1.0,1.4620724429909695,-0.02397034362190801,-0.02397034362190801,0.1,False,0.0,0.006017250929215863
