t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,0.0033749389721799933,0.8069100477356018,1.0015504076004063,0.0006661993109569762,0.0006661993109569762,0.1,False,0.0,0.0033749389721799933
1,-0.0002676906258271768,0.8687178676511639,1.0046332249934455,-0.00319183941670433,-0.00319183941670433,0.1,False,0.0,-0.0002676906258271768
2,0.012140929475393285,0.9223162170642241,1.0083325406360788,0.0006512680524226018,0.0006512680524226018,0.1,False,0.0,0.012140929475393285
3,0.012055196967717166,0.9634616856909227,1.0125658728993208,-0.011201777992461085,-0.011201777992461085,0.1,False,0.0,0.012055196967717166
4,-0.00021429858475425877,0.9898426983227316,1.017207642495854,-0.0096338696732526,-0.0096338696732526,0.1,False,0.0,-0.00021429858475425877
5,0.005297917419664277,0.9999458217507151,1.0221103116897423,0.001643778334099978,0.001643778334099976,0.1,False,0.0,0.005297917419664277
6,0.029365152180894808,1.0,1.0271125192364314,-0.0048997998562616465,-0.0048997998562616465,0.1,False,0.0,0.029365152180894808
7,0.041475452149967805,1.0,1.032114656774624,-0.02638018991606351,-0.026380189916063505,0.1,False,0.0,0.041475452149967805
8,0.018777469441406784,1.0,1.0371162939439098,-0.034633597716263,-0.034633597716263,0.1,False,0.0,0.018777469441406784
9,-0.006778180937217847,1.0,1.0421175063302588,-0.012298217628098105,-0.012298217628098105,0.1,False,0.0,-0.006778180937217847
10,-0.022592063140352364,1.0,1.0471183585891863,0.008489222795209233,0.008489222795209233,0.1,False,0.0,-0.022592063140352364
11,-0.016715847949867316,1.0,1.0521189060199454,0.019971316376658034,0.019971316376658034,0.1,False,0.0,-0.016715847949867316
12,-0.06044529394711249,1.0,1.0571191959125703,0.012667532537035647,0.012667532537035647,0.1,False,0.0,-0.06044529394711249
13,-0.04875309440546966,1.0,1.0621192687006347,0.053603768677359415,0.053603768677359415,0.1,False,0.0,-0.04875309440546966
14,-0.06602591606962552,1.0,1.0671191589478264,0.03759941157937859,0.03759941157937859,0.1,False,0.0,-0.06602591606962552
15,-0.0614145854425762,1.0,1.0721188961923658,0.05489347145539912,0.05489347145539912,0.1,False,0.0,-0.0614145854425762
16,-0.05888624630451416,1.0,1.0771185056698063,0.048578308678815046,0.048578308678815046,0.1,False,0.0,-0.05888624630451416
17,-0.04939209010952864,1.0,1.0821180089317877,0.046805596347043885,0.046805596347043885,0.1,False,0.0,-0.04939209010952864
18,-0.02840660781917264,1.0,1.0871174243757582,0.03837437334422465,0.03837437334422465,0.1,False,0.0,-0.02840660781917264
19,-0.002576820691398801,1.0,1.092116767698518,0.020207028380495394,0.020207028380495394,0.1,False,0.0,-0.002576820691398801
20,-0.0012828823089125283,1.0,1.0971160522845644,-0.0010381179022138196,-0.0010381179022138207,0.1,False,0.0,-0.0012828823089125283
21,0.027465520618925432,1.0,1.1021152895386443,0.0008710332412316701,0.0008710332412316701,0.1,False,0.0,0.027465520618925432
22,0.009386743273667642,1.0,1.107114489170544,-0.025422224846480903,-0.025422224846480903,0.1,False,0.0,0.009386743273667642
23,0.014000955924276056,1.0,1.1121136594390004,-0.005339941337503179,-0.005339941337503179,0.1,False,0.0,0.014000955924276056
24,0.02835939779129242,1.0,1.1171128073606142,-0.011754470257493856,-0.011754470257493856,0.1,False,0.0,0.02835939779129242
25,0.021425025876397313,1.0,1.1221119388887981,-0.0244105312570759,-0.0244105312570759,0.1,False,0.0,0.021425025876397313
26,0.0030101029615739188,1.0,1.1271110590670694,-0.016307896071330437,-0.016307896071330437,0.1,False,0.0,0.0030101029615739188
27,-0.017097730765017794,1.0,1.1321101721603712,-0.0001982916194803279,-0.0001982916194803279,0.1,False,0.0,-0.017097730765017794
28,-0.023241046201828937,1.0,1.1371092817675776,0.01609112465920524,0.01609112465920524,0.1,False,0.0,-0.023241046201828937
29,-0.01630458396378466,1.0,1.1421083909178857,0.019330034813880487,0.019330034813880487,0.1,False,0.0,-0.01630458396378466
30,-0.03245039609665096,1.0,1.1471075021533998,0.012211291702462415,0.012211291702462415,0.1,False,0.0,-0.03245039609665096
31,-0.025891781578507182,1.0,1.152106617599892,0.027897814333264725,0.02789781433326473,0.1,False,0.0,-0.025891781578507182
32,-0.0255986714680245,1.0,1.1571057390274322,0.019926391520628493,0.019926391520628493,0.1,False,0.0,-0.0255986714680245
33,-0.004764052483884531,1.0,1.1621048679023347,0.02044376396116168,0.02044376396116168,0.1,False,0.0,-0.004764052483884531
34,-0.0009142175887967517,1.0,1.1671040054316681,0.0013110877090108286,0.0013110877090108297,0.1,False,0.0,-0.0009142175887967517
35,0.005762352453292509,1.0,1.1721031526013905,0.000269393883626868,0.000269393883626868,0.1,False,0.0,0.005762352453292509
36,-0.004272311076167297,1.0,1.1771023102090195,-0.005411070367684718,-0.005411070367684718,0.1,False,0.0,-0.004272311076167297
37,-0.008439344025316787,1.0,1.1821014788916215,0.004622008484469015,0.004622008484469013,0.1,False,0.0,-0.008439344025316787
38,0.010860806799751791,1.0,1.187100659149785,0.007251519174151368,0.007251519174151368,0.1,False,0.0,0.010860806799751791
39,0.03606961820593397,1.0,1.1920998513681555,-0.011004663538809661,-0.011004663538809661,0.1,False,0.0,0.03606961820593397
40,0.004864230793856824,1.0,1.1970990558330166,-0.031880751933489035,-0.031880751933489035,0.1,False,0.0,0.004864230793856824
41,0.03638044792784606,1.0,1.2020982727473453,-0.0001467381456362023,-0.00014673814563619623,0.1,False,0.0,0.03638044792784606
42,0.051419457430874144,1.0,1.2070975022436987,-0.032886304398355555,-0.032886304398355555,0.1,False,0.0,0.051419457430874144
43,0.054180215364126136,1.0,1.2120967443952384,-0.04294024708506269,-0.04294024708506269,0.1,False,0.0,0.054180215364126136
44,0.04695320249496433,1.0,1.2170959992251642,-0.043675463243291156,-0.043675463243291156,0.1,False,0.0,0.04695320249496433
45,0.02981634368880807,1.0,1.222095266714779,-0.03669532045167205,-0.03669532045167205,0.1,False,0.0,0.02981634368880807
46,0.051198724149477536,1.0,1.2270945468103827,-0.021796651894307708,-0.021796651894307708,0.1,False,0.0,0.051198724149477536
47,0.0762037966947248,1.0,1.232093839429161,-0.04352486497486237,-0.04352486497486237,0.1,False,0.0,0.0762037966947248
48,0.09235278660867743,1.0,1.237093144464211,-0.06396364606120951,-0.06396364606120951,0.1,False,0.0,0.09235278660867743
49,0.09836295921971867,1.0,1.2420924617888325,-0.07582010807661627,-0.07582010807661627,0.1,False,0.0,0.09836295921971867
50,0.08169865626636891,1.0,1.2470917912601807,-0.0794115880890999,-0.0794115880890999,0.1,False,0.0,0.08169865626636891
51,0.03832752809552231,1.0,1.2520911327223807,-0.06335920865869316,-0.06335920865869316,0.1,False,0.0,0.03832752809552231
52,0.027027337471663825,1.0,1.257090486009174,-0.02545748709591626,-0.02545748709591625,0.1,False,0.0,0.027027337471663825
53,0.030520006087799575,1.0,1.2620898509461707,-0.020265847102468044,-0.020265847102468044,0.1,False,0.0,0.030520006087799575
54,-0.003905547762877461,1.0,1.267089227352754,-0.024835125104175952,-0.024835125104175952,0.1,False,0.0,-0.003905547762877461
55,0.006242291077149077,1.0,1.2720886150436985,0.007255504672383213,0.007255504672383208,0.1,False,0.0,0.006242291077149077
56,0.009734875247086112,1.0,1.2770880138305354,-0.006211573522522447,-0.006211573522522449,0.1,False,0.0,0.009734875247086112
57,0.020856478640326203,1.0,1.2820874235227049,-0.008207010298061335,-0.008207010298061335,0.1,False,0.0,0.020856478640326203
58,-0.007390978493958198,1.0,1.2870868439285221,-0.018019775319449774,-0.018019775319449774,0.1,False,0.0,-0.007390978493958198
59,-0.015348498148859338,1.0,1.292086274855994,0.009302477651280687,0.00930247765128069,0.1,False,0.0,-0.015348498148859338
60,-0.024507229090192338,1.0,1.2970857161134928,0.013233700877675609,0.013233700877675609,0.1,False,0.0,-0.024507229090192338
61,-0.04231427116086128,1.0,1.302085167510322,0.02070483098511383,0.02070483098511383,0.1,False,0.0,-0.04231427116086128
62,0.0038462086032909713,1.0,1.3070846288571853,0.035988261977169304,0.035988261977169304,0.1,False,0.0,0.0038462086032909713
63,-0.007905729396564141,1.0,1.312084099966567,-0.008616224454331047,-0.008616224454331056,0.1,False,0.0,-0.007905729396564141
64,0.00402149324672988,1.0,1.3170835806530472,0.007734816077233926,0.007734816077233922,0.1,False,0.0,0.00402149324672988
65,-0.002827742259972678,1.0,1.3220830707335531,-0.004648461314579187,-0.004648461314579189,0.1,False,0.0,-0.002827742259972678
66,0.027533046115271693,1.0,1.3270825700275641,0.00308410206878245,0.003084102068782449,0.1,False,0.0,0.027533046115271693
67,0.04709120702621989,1.0,1.332082078357266,-0.02566973149724668,-0.02566973149724668,0.1,False,0.0,0.04709120702621989
68,0.05110845709898969,1.0,1.3370815955476767,-0.040019944930289694,-0.040019944930289694,0.1,False,0.0,0.05110845709898969
69,-0.0035102550258578236,1.0,1.3420811214267354,-0.04136883568792413,-0.04136883568792413,0.1,False,0.0,-0.0035102550258578236
70,-0.0017623881825930185,1.0,1.3470806558253687,0.009362449475667962,0.00936244947566797,0.1,False,0.0,-0.0017623881825930185
71,0.006987209851016514,1.0,1.3520801985775324,0.0012001665248826383,0.0012001665248826388,0.1,False,0.0,0.006987209851016514
72,0.026200982403284362,1.0,1.3570797495202371,-0.006639719644846356,-0.006639719644846357,0.1,False,0.0,0.026200982403284362
73,0.0077556167833078725,1.0,1.3620793084935572,-0.023266438628899634,-0.023266438628899634,0.1,False,0.0,0.0077556167833078725
74,0.043179140412556494,1.0,1.367078875340628,-0.00399104955224912,-0.003991049552249124,0.1,False,0.0,0.043179140412556494
75,0.003842531574133258,1.0,1.372078449907631,-0.038794135165555035,-0.038794135165555035,0.1,False,0.0,0.003842531574133258
76,-0.0056673094607235805,1.0,1.3770780320437723,0.0016463678013041811,0.0016463678013041872,0.1,False,0.0,-0.0056673094607235805
77,0.011413710235454901,1.0,1.382077621601252,0.005675028492761684,0.005675028492761684,0.1,False,0.0,0.011413710235454901
78,0.007473571339478971,1.0,1.3870772184352296,-0.01118069055190534,-0.011180690551905336,0.1,False,0.0,0.007473571339478971
79,0.04695419214561577,1.0,1.392076822403783,-0.005506040404066066,-0.005506040404066066,0.1,False,0.0,0.04695419214561577
80,0.03728784091028093,1.0,1.397076433367867,-0.04230102821322903,-0.04230102821322904,0.1,False,0.0,0.03728784091028093
81,0.019193970391226008,1.0,1.4020760511912638,-0.028670310579984565,-0.028670310579984565,0.1,False,0.0,0.019193970391226008
82,0.005581985613121074,1.0,1.4070756757405396,-0.013183911850694216,-0.013183911850694216,0.1,False,0.0,0.005581985613121074
83,-0.01796214584471699,1.0,1.412075306884989,-0.0028321503171242677,-0.002832150317124267,0.1,False,0.0,-0.01796214584471699
84,-0.039880649618718504,1.0,1.417074944496588,0.01719501245071416,0.01719501245071416,0.1,False,0.0,-0.039880649618718504
85,-0.018882778783991236,1.0,1.4220745884499415,0.034534740147854986,0.034534740147854986,0.1,False,0.0,-0.018882778783991236
86,-0.005205892969980431,1.0,1.4270742386222304,0.012586478527025716,0.012586478527025716,0.1,False,0.0,-0.005205892969980431
87,0.023621718033606125,1.0,1.432073894893162,0.002523488078303049,0.002523488078303049,0.1,False,0.0,0.023621718033606125
88,0.0028722941962559295,1.0,1.437073557144916,-0.022356687747315286,-0.022356687747315286,0.1,False,0.0,0.0028722941962559295
89,0.03955951201808615,1.0,1.4420732252620951,0.0001920955034772796,0.00019209550347727757,0.1,False,0.0,0.03955951201808615
90,0.021703496573972237,1.0,1.4470728991316728,-0.036050075753088544,-0.036050075753088544,0.1,False,0.0,0.021703496573972237
91,0.05038665594484724,1.0,1.4520725786429454,-0.015220075405884121,-0.015220075405884121,0.1,False,0.0,0.05038665594484724
92,0.028237203557053794,1.0,1.4570722636874802,-0.04375130388038279,-0.04375130388038279,0.1,False,0.0,0.028237203557053794
93,0.0077931672706663515,1.0,1.46207195415907,-0.019931828559107825,-0.019931828559107825,0.1,False,0.0,0.0077931672706663515
94,0.01110585958222611,1.0,1.4670716499536829,-0.003781249462166588,-0.003781249462166591,0.1,False,0.0,0.01110585958222611
95,0.026425764967879753,1.0,1.4720713509694168,-0.009282210743168061,-0.009282210743168061,0.1,False,0.0,0.026425764967879753
96,0.02214809082216867,1.0,1.4770710571064547,-0.02297900062058224,-0.02297900062058224,0.1,False,0.0,0.02214809082216867
97,0.007072275936688064,1.0,1.4820707682670184,-0.017205151760249605,-0.017205151760249605,0.1,False,0.0,0.007072275936688064
98,-0.020456050604203923,1.0,1.4870704843553257,-0.003848722963092779,-0.003848722963092781,0.1,False,0.0,-0.020456050604203923
99,-0.04707762331734232,1.0,1.4920702052775465,0.01966823966827018,0.01966823966827018,0.1,False,0.0,-0.04707762331734232
100,-0.025373580213959013,1.0,1.4970699309417632,0.04085668737945046,0.04085668737945046,0.1,False,0.0,-0.025373580213959013
101,-0.0016104945166392228,1.0,1.5020696612579278,0.017694378998761216,0.017694378998761216,0.1,False,0.0,-0.0016104945166392228
102,-0.005385695020176786,1.0,1.5070693961378225,-0.0015631746703669966,-0.001563174670367,0.1,False,0.0,-0.005385695020176786
103,-0.020629214384244778,1.0,1.5120691354950213,0.004761580076565936,0.004761580076565936,0.1,False,0.0,-0.020629214384244778
104,0.0005247638621217283,1.0,1.5170688792448517,0.01833259383108398,0.01833259383108398,0.1,False,0.0,0.0005247638621217283
105,-0.027258315602962466,1.0,1.522068627304356,-0.0029582884792613636,-0.0029582884792613644,0.1,False,0.0,-0.027258315602962466
106,-0.030793378704160573,1.0,1.527068379592258,0.025140622018180077,0.025140622018180077,0.1,False,0.0,-0.030793378704160573
107,-0.013340968242030809,1.0,1.532068136028925,0.025058910535472233,0.025058910535472233,0.1,False,0.0,-0.013340968242030809
108,-0.05527329028415849,1.0,1.5370678965363336,0.008578485338169075,0.008578485338169078,0.1,False,0.0,-0.05527329028415849
109,-0.03211386283866507,1.0,1.5420676610380366,0.04925051087238212,0.04925051087238212,0.1,False,0.0,-0.03211386283866507
110,-0.037457077569180416,1.0,1.547067429459129,0.022911958977472842,0.022911958977472842,0.1,False,0.0,-0.037457077569180416
111,-0.02588811851254323,1.0,1.5520672017262171,0.030606847823006177,0.030606847823006177,0.1,False,0.0,-0.02588811851254323
112,-0.02168650709173532,1.0,1.557066977767386,0.019322219723238124,0.019322219723238124,0.1,False,0.0,-0.02168650709173532
113,-0.009320695237392143,1.0,1.5620667575121663,0.01684501230289131,0.01684501230289131,0.1,False,0.0,-0.009320695237392143
114,0.004526568122121919,1.0,1.5670665408915092,0.005972658767392534,0.005972658767392534,0.1,False,0.0,0.004526568122121919
115,-0.010625270957685427,1.0,1.5720663278377527,-0.005282926100839223,-0.005282926100839223,0.1,False,0.0,-0.010625270957685427
116,0.023008942936156178,1.0,1.577066118284594,0.010318437455725225,0.010318437455725225,0.1,False,0.0,0.023008942936156178
117,0.03134060597511968,1.0,1.5820659121670617,-0.022443260016185934,-0.02244326001618594,0.1,False,0.0,0.03134060597511968
118,0.04206871164437605,1.0,1.5870657094214877,-0.026072284344771365,-0.026072284344771365,0.1,False,0.0,0.04206871164437605
119,0.055212901581402477,1.0,1.5920655099854806,-0.0349423419958116,-0.0349423419958116,0.1,False,0.0,0.055212901581402477
120,0.0560526085954295,1.0,1.5970653137978987,-0.045747624057565155,-0.045747624057565155,0.1,False,0.0,0.0560526085954295
121,0.06035646831482871,1.0,1.6020651207988246,-0.044942851718026845,-0.044942851718026845,0.1,False,0.0,0.06035646831482871
122,0.04624015049013374,1.0,1.6070649309295397,-0.04880163781819087,-0.04880163781819087,0.1,False,0.0,0.04624015049013374
123,0.008266194327109492,1.0,1.6120647441325,-0.0352981622531436,-0.0352981622531436,0.1,False,0.0,0.008266194327109492
124,0.0021529589488186005,1.0,1.6170645603513105,-0.002056080722124684,-0.00205608072212469,0.1,False,0.0,0.0021529589488186005
125,-0.01732236527909139,1.0,1.6220643795307033,-0.0009887789136599735,-0.0009887789136599735,0.1,False,0.0,-0.01732236527909139
126,-0.040668638626015545,1.0,1.6270642016165127,0.016194931130622314,0.016194931130622314,0.1,False,0.0,-0.040668638626015545
127,-0.02601304838178281,1.0,1.6320640265556534,0.03533646370244334,0.03533646370244334,0.1,False,0.0,-0.02601304838178281
128,-0.033870156263237854,1.0,1.6370638542960982,0.01905176787611832,0.01905176787611832,0.1,False,0.0,-0.033870156263237854
129,-0.043941250647346,1.0,1.6420636847868562,0.02803897795636489,0.02803897795636489,0.1,False,0.0,-0.043941250647346
130,-0.05623060827659888,1.0,1.64706351797795,0.03636153184396978,0.03636153184396978,0.1,False,0.0,-0.05623060827659888
131,-0.035924945079467675,1.0,1.6520633538203977,0.04645920953678945,0.04645920953678945,0.1,False,0.0,-0.035924945079467675
132,-0.02161804001213441,1.0,1.6570631922661903,0.026303276479918397,0.026303276479918397,0.1,False,0.0,-0.02161804001213441
133,0.01214617688566077,1.0,1.6620630332682707,0.015577603401627536,0.015577603401627536,0.1,False,0.0,0.01214617688566077
