t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,0.002924180262898667,0.8069100477356018,1.0015504076004063,0.0006661993109569762,0.0006661993109569762,0.1,False,0.0,0.002924180262898667
1,-0.0011937255135189948,0.8687236803349729,1.0046332249934455,-0.00277714140416551,-0.002777141404165511,0.1,False,0.0,-0.0011937255135189948
2,0.013507027829356682,0.9223123103739238,1.0083325987174152,0.0014491291039853153,0.0014491291039853158,0.1,False,0.0,0.013507027829356682
3,0.012296242112514632,0.9634487151252978,1.0125658919825975,-0.012569712664630427,-0.012569712664630427,0.1,False,0.0,0.012296242112514632
4,-0.002623467306051779,0.9898355331599239,1.0172075325144703,-0.00969169940399066,-0.00969169940399066,0.1,False,0.0,-0.002623467306051779
5,0.00760019287738636,0.9999448836113985,1.0221101308523348,0.0038891389750693927,0.003889138975069395,0.1,False,0.0,0.00760019287738636
6,0.030252747894096335,1.0,1.0271123289067867,-0.007306993523921666,-0.007306993523921666,0.1,False,0.0,0.030252747894096335
7,0.040191138387296314,1.0,1.0321144664448074,-0.026920504917282265,-0.02692050491728226,0.1,False,0.0,0.040191138387296314
8,0.01965731064930092,1.0,1.0371161036152177,-0.03334551756902105,-0.03334551756902105,0.1,False,0.0,0.01965731064930092
9,-0.009536467921893256,1.0,1.0421173160037667,-0.01326178919088129,-0.01326178919088129,0.1,False,0.0,-0.009536467921893256
10,-0.023372340518990065,1.0,1.0471181682657806,0.011132427766057907,0.011132427766057903,0.1,False,0.0,-0.023372340518990065
11,-0.018073963266943348,1.0,1.0521187157003506,0.02035817712684367,0.02035817712684367,0.1,False,0.0,-0.018073963266943348
12,-0.061100115200603114,1.0,1.0571190055973716,0.013823365343309073,0.013823365343309073,0.1,False,0.0,-0.061100115200603114
13,-0.05031512281183738,1.0,1.0621190783902983,0.054043230392521666,0.054043230392521666,0.1,False,0.0,-0.05031512281183738
14,-0.06503471793349368,1.0,1.0671189686427172,0.03895789916281801,0.03895789916281801,0.1,False,0.0,-0.06503471793349368
15,-0.06283683900152381,1.0,1.072118705892762,0.0537941257613937,0.0537941257613937,0.1,False,0.0,-0.06283683900152381
16,-0.05956444782603851,1.0,1.0771183153759125,0.050005725729382666,0.050005725729382666,0.1,False,0.0,-0.05956444782603851
17,-0.04809623831263811,1.0,1.082117818643746,0.04725887131977258,0.04725887131977258,0.1,False,0.0,-0.04809623831263811
18,-0.030015469145914936,1.0,1.087117234093658,0.03710080550850244,0.03710080550850244,0.1,False,0.0,-0.030015469145914936
19,0.0006243605967575733,1.0,1.0921165774224038,0.021842683016725168,0.021842683016725168,0.1,False,0.0,0.0006243605967575733
20,-0.0021915961295657835,1.0,1.0971158620144439,-0.00417626804652676,-0.004176268046526756,0.1,False,0.0,-0.0021915961295657835
21,0.029298605618181817,1.0,1.1021150992744935,0.0020911917108114297,0.0020911917108114297,0.1,False,0.0,0.029298605618181817
22,0.007402531959240704,1.0,1.1071142989123128,-0.027217708704275166,-0.027217708704275166,0.1,False,0.0,0.007402531959240704
23,0.01692057270986508,1.0,1.112113469186618,-0.0032944967283196304,-0.003294496728319628,0.1,False,0.0,0.01692057270986508
24,0.027953287673418203,1.0,1.1171126171139922,-0.01467862305796699,-0.01467862305796699,0.1,False,0.0,0.027953287673418203
25,0.024608529157363574,1.0,1.1221117486478338,-0.023686555934360937,-0.023686555934360937,0.1,False,0.0,0.024608529157363574
26,0.0031764251058848695,1.0,1.1271108688316493,-0.019285452303964307,-0.019285452303964307,0.1,False,0.0,0.0031764251058848695
27,-0.015034042346564707,1.0,1.1321099819303726,3.071240146954859e-05,3.071240146955163e-05,0.1,False,0.0,-0.015034042346564707
28,-0.023141581103090805,1.0,1.1371090915428717,0.014212489971545715,0.014212489971545719,0.1,False,0.0,-0.023141581103090805
29,-0.013760556274922175,1.0,1.1421082006983387,0.019486169533255777,0.019486169533255777,0.1,False,0.0,-0.013760556274922175
30,-0.03127015057410661,1.0,1.1471073119388742,0.009882722040557505,0.009882722040557505,0.1,False,0.0,-0.03127015057410661
31,-0.02699506223257336,1.0,1.1521064273902488,0.027117271775187426,0.027117271775187426,0.1,False,0.0,-0.02699506223257336
32,-0.023329021602660628,1.0,1.1571055488225315,0.0210830391850747,0.0210830391850747,0.1,False,0.0,-0.023329021602660628
33,-0.005294833374668201,1.0,1.162104677702036,0.018223292406538975,0.018223292406538975,0.1,False,0.0,-0.005294833374668201
34,-0.001973453925912797,1.0,1.1671038152358324,0.0020717641123754694,0.0020717641123754672,0.1,False,0.0,-0.001973453925912797
35,0.009429935988664262,1.0,1.1721029624098798,0.0011801976068795894,0.0011801976068795894,0.1,False,0.0,0.009429935988664262
36,-0.008793111854879184,1.0,1.1771021200216976,-0.008912355580680657,-0.008912355580680657,0.1,False,0.0,-0.008793111854879184
37,-0.008513316004608692,1.0,1.1821012887083548,0.009221255225128561,0.009221255225128558,0.1,False,0.0,-0.008513316004608692
38,0.008474770051949335,1.0,1.1871004689704427,0.006777077301654495,0.006777077301654495,0.1,False,0.0,0.008474770051949335
39,0.03608133348530379,1.0,1.192099661192609,-0.008818386368346432,-0.008818386368346436,0.1,False,0.0,0.03608133348530379
40,0.002775829590783434,1.0,1.1970988656611405,-0.03217785440024557,-0.03217785440024557,0.1,False,0.0,0.002775829590783434
41,0.03360450170106085,1.0,1.2020980825790188,0.0017759967947156953,0.0017759967947156893,0.1,False,0.0,0.03360450170106085
42,0.05022162491242715,1.0,1.207097312078803,-0.03058304201408197,-0.03058304201408197,0.1,False,0.0,0.05022162491242715
43,0.05536958306098029,1.0,1.2120965542336588,-0.04217135471530568,-0.04217135471530568,0.1,False,0.0,0.05536958306098029
44,0.047992258706690535,1.0,1.2170958090667892,-0.04491342142661062,-0.04491342142661062,0.1,False,0.0,0.047992258706690535
45,0.030085230357506695,1.0,1.2220950765595004,-0.03750852804283766,-0.03750852804283766,0.1,False,0.0,0.030085230357506695
46,0.0513125063611341,1.0,1.227094356658097,-0.021919340884103296,-0.021919340884103296,0.1,False,0.0,0.0513125063611341
47,0.07503590746876862,1.0,1.2320936492797667,-0.043597278209342574,-0.043597278209342574,0.1,False,0.0,0.07503590746876862
48,0.09391951814700687,1.0,1.2370929543176115,-0.06287553410793104,-0.06287553410793104,0.1,False,0.0,0.09391951814700687
49,0.0959184856661805,1.0,1.2420922716449336,-0.0774016477989941,-0.0774016477989941,0.1,False,0.0,0.0959184856661805
50,0.08531233161479769,1.0,1.2470916011188915,-0.07697466463524524,-0.07697466463524524,0.1,False,0.0,0.08531233161479769
51,0.03471511453192859,1.0,1.252090942583614,-0.06697712680567222,-0.06697712680567222,0.1,False,0.0,0.03471511453192859
52,0.025248412192921572,1.0,1.257090295872846,-0.02170042557559858,-0.02170042557559859,0.1,False,0.0,0.025248412192921572
53,0.026534338261199168,1.0,1.2620896608121996,-0.019062725473656415,-0.019062725473656415,0.1,False,0.0,0.026534338261199168
54,-0.004285494568710014,1.0,1.2670890372210624,-0.021381781737152647,-0.021381781737152647,0.1,False,0.0,-0.004285494568710014
55,0.003833071182240402,1.0,1.2720884249142108,0.007126775594557113,0.007126775594557111,0.1,False,0.0,0.003833071182240402
56,0.00946026082745875,1.0,1.2770878237031795,-0.004040684835906371,-0.004040684835906373,0.1,False,0.0,0.00946026082745875
57,0.021613054894789506,1.0,1.2820872333974114,-0.008243471419393203,-0.008243471419393203,0.1,False,0.0,0.021613054894789506
58,-0.007310837752681504,1.0,1.2870866538052244,-0.018748779203911294,-0.018748779203911294,0.1,False,0.0,-0.007310837752681504
59,-0.017622860172231844,1.0,1.2920860847346274,0.009319537319841725,0.009319537319841725,0.1,False,0.0,-0.017622860172231844
60,-0.025910881619234508,1.0,1.2970855259939948,0.015335730828131517,0.015335730828131517,0.1,False,0.0,-0.025910881619234508
61,-0.04346501694388682,1.0,1.3020849773926344,0.021723267869027927,0.021723267869027927,0.1,False,0.0,-0.04346501694388682
62,0.0018058385574152545,1.0,1.30708443874125,0.03687850979406773,0.03687850979406773,0.1,False,0.0,0.0018058385574152545
63,-0.00998228510266036,1.0,1.3120839098523291,-0.006877173506088453,-0.0068771735060884605,0.1,False,0.0,-0.00998228510266036
64,0.0034851906956269306,1.0,1.3170833905404535,0.009400402921337363,0.009400402921337363,0.1,False,0.0,0.0034851906956269306
65,-0.003590113464894178,1.0,1.3220828806225535,-0.00440424965229602,-0.00440424965229602,0.1,False,0.0,-0.003590113464894178
66,0.02690843707705359,1.0,1.3270823799181086,0.0037211272711778756,0.0037211272711778778,0.1,False,0.0,0.02690843707705359
67,0.049704679077045795,1.0,1.3320818882493082,-0.025186575726676607,-0.025186575726676607,0.1,False,0.0,0.049704679077045795
68,0.049358981836481484,1.0,1.3370814054411706,-0.042499292301635704,-0.042499292301635704,0.1,False,0.0,0.049358981836481484
69,-0.005421462903189512,1.0,1.3420809313216382,-0.03944570180031747,-0.03944570180031747,0.1,False,0.0,-0.005421462903189512
70,0.00014294665366194046,1.0,1.3470804657216382,0.010910823691312129,0.010910823691312138,0.1,False,0.0,0.00014294665366194046
71,0.008498849260805977,1.0,1.3520800084751277,-0.0007820864697517266,-0.0007820864697517266,0.1,False,0.0,0.008498849260805977
72,0.027060659170214312,1.0,1.3570795594191198,-0.007801787721502066,-0.007801787721502066,0.1,False,0.0,0.027060659170214312
73,0.007200579934622004,1.0,1.36207911839369,-0.023875944525300452,-0.023875944525300452,0.1,False,0.0,0.007200579934622004
74,0.043303846006430315,1.0,1.3670786852419747,-0.003377254439426527,-0.003377254439426529,0.1,False,0.0,0.043303846006430315
75,0.004766804779453256,1.0,1.372078259810157,-0.038975468733761245,-0.038975468733761245,0.1,False,0.0,0.004766804779453256
76,-0.00649067982345567,1.0,1.377077841947444,0.0008110011236746413,0.0008110011236746473,0.1,False,0.0,-0.00649067982345567
77,0.011886754787380601,1.0,1.3820774315060373,0.006543442011113607,0.006543442011113607,0.1,False,0.0,0.011886754787380601
78,0.007296096973536517,1.0,1.3870770283410974,-0.011714695983204834,-0.011714695983204834,0.1,False,0.0,0.007296096973536517
79,0.0489765514920493,1.0,1.3920766323107034,-0.005285998641167924,-0.005285998641167924,0.1,False,0.0,0.0489765514920493
80,0.0370577624373363,1.0,1.3970762432758108,-0.044182895735860976,-0.044182895735860976,0.1,False,0.0,0.0370577624373363
81,0.020178234904914296,1.0,1.4020758611002042,-0.02821595526330348,-0.02821595526330348,0.1,False,0.0,0.020178234904914296
82,0.004337384604632873,1.0,1.4070754856504488,-0.014117044620040799,-0.014117044620040799,0.1,False,0.0,0.004337384604632873
