t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,0.004342026406947743,0.8069100477356018,1.0015504076004063,0.0006661993109569762,0.0006661993109569762,0.1,False,0.0,0.004342026406947743
1,-0.001407251525221211,0.86870539673633,1.0046332249934455,-0.0040815598566906605,-0.0040815598566906605,0.1,False,0.0,-0.001407251525221211
2,0.01198349296565419,0.9222939189463113,1.0083324160245524,0.0018157145720372433,0.0018157145720372428,0.1,False,0.0,0.01198349296565419
3,0.012495761453555146,0.9634457528225163,1.0125655256942134,-0.011193683711428402,-0.011193683711428402,0.1,False,0.0,0.012495761453555146
4,-0.0008754392645470324,0.9898325112886059,1.01720713673595,-0.010058081381392232,-0.010058081381392232,0.1,False,0.0,-0.0008754392645470324
5,0.003666048148220878,0.999945063671358,1.0221097051967722,0.0023048954978098874,0.0023048954978098896,0.1,False,0.0,0.003666048148220878
6,0.029803448283391196,1.0,1.027111905080205,-0.0034778170081088515,-0.0034778170081088506,0.1,False,0.0,0.029803448283391196
7,0.04062985696634181,1.0,1.032114042614026,-0.026979246642933396,-0.026979246642933396,0.1,False,0.0,0.04062985696634181
8,0.01772466739367231,1.0,1.0371156797818644,-0.03380305461502753,-0.03380305461502753,0.1,False,0.0,0.01772466739367231
9,-0.01069060678693603,1.0,1.0421168921692208,-0.011431111166217508,-0.011431111166217511,0.1,False,0.0,-0.01069060678693603
10,-0.02277050282911421,1.0,1.0471177444312065,0.011962318331221824,0.011962318331221827,0.1,False,0.0,-0.02277050282911421
11,-0.018164082111999217,1.0,1.0521182918667298,0.01966598978835275,0.01966598978835275,0.1,False,0.0,-0.018164082111999217
12,-0.06066084335717191,1.0,1.0571185817655273,0.013978495203545575,0.013978495203545575,0.1,False,0.0,-0.06066084335717191
13,-0.049874447995388364,1.0,1.0621186545609178,0.053628286035158255,0.053628286035158255,0.1,False,0.0,-0.049874447995388364
14,-0.0636172119271403,1.0,1.0671185448163714,0.03860519095289667,0.03860519095289667,0.1,False,0.0,-0.0636172119271403
15,-0.06199867311892504,1.0,1.072118282069922,0.052542901213522474,0.052542901213522474,0.1,False,0.0,-0.06199867311892504
16,-0.05671551634311072,1.0,1.0771178915569628,0.0494047138381542,0.0494047138381542,0.1,False,0.0,-0.05671551634311072
17,-0.04820983550272524,1.0,1.082117394828998,0.04473843426139086,0.04473843426139086,0.1,False,0.0,-0.04820983550272524
18,-0.026212505334999723,1.0,1.08711681028336,0.03754718670133394,0.03754718670133394,0.1,False,0.0,-0.026212505334999723
19,-2.2572715401265104e-06,1.0,1.09211615361675,0.018330324647872716,0.018330324647872716,0.1,False,0.0,-2.2572715401265104e-06
20,-0.0009202182911937667,1.0,1.0971154382135833,-0.0031434239503830503,-0.0031434239503830524,0.1,False,0.0,-0.0009202182911937667
21,0.03074447839999026,1.0,1.102114675478535,0.0008463299553134502,0.0008463299553134505,0.1,False,0.0,0.03074447839999026
22,0.007824121591897427,1.0,1.1071138751213323,-0.028395346322934292,-0.028395346322934292,0.1,False,0.0,0.007824121591897427
23,0.015388443298000654,1.0,1.1121130454006634,-0.0035088544565468017,-0.0035088544565467996,0.1,False,0.0,0.015388443298000654
24,0.029683814416041152,1.0,1.117112193333087,-0.013218473243132911,-0.013218473243132911,0.1,False,0.0,0.029683814416041152
25,0.023354378075304823,1.0,1.1221113248719818,-0.02546249606699778,-0.02546249606699778,0.1,False,0.0,0.023354378075304823
26,0.004065675035535515,1.0,1.1271104450608371,-0.0179239700993555,-0.0179239700993555,0.1,False,0.0,0.004065675035535515
27,-0.01659601190715264,1.0,1.1321095581645724,-0.0009378956636560951,-0.0009378956636560921,0.1,False,0.0,-0.01659601190715264
28,-0.02309475380723914,1.0,1.1371086677820446,0.01575621195884469,0.01575621195884469,0.1,False,0.0,-0.02309475380723914
29,-0.012978826582127505,1.0,1.1421077769424353,0.019255652073801692,0.019255652073801692,0.1,False,0.0,-0.012978826582127505
30,-0.03151451103661684,1.0,1.1471068881878381,0.009169149998688609,0.009169149998688609,0.1,False,0.0,-0.03151451103661684
31,-0.025402267685593904,1.0,1.1521060036440167,0.027435890963832192,0.027435890963832192,0.1,False,0.0,-0.025402267685593904
32,-0.02572121062097166,1.0,1.157105125081035,0.019588344946352372,0.019588344946352372,0.1,False,0.0,-0.02572121062097166
33,-0.006746403121158917,1.0,1.162104253965203,0.020615241649022658,0.020615241649022658,0.1,False,0.0,-0.006746403121158917
34,-0.0006567067149907338,1.0,1.1671033915035873,0.0031201455969496047,0.0031201455969496025,0.1,False,0.0,-0.0006567067149907338
