t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,0.0017672124103558697,0.8069182376423483,1.0015504076004063,0.00012020552784658485,0.00012020552784658485,0.1,False,0.0,0.0017672124103558697
1,0.0013669692614610718,0.8687665250543556,1.004633306892513,-0.0002904607413757832,-0.0002904607413757833,0.1,False,0.0,0.0013669692614610718
2,0.011490364978175401,0.9223641207178036,1.008333108728289,-0.00022674445018573336,-0.00022674445018573336,0.1,False,0.0,0.011490364978175401
3,0.019798118270276895,0.9634355469724584,1.0125669191979352,-0.0019232992906682916,-0.0019232992906682916,0.1,False,0.0,0.019798118270276895
4,0.013684621835878034,0.9898532182018105,1.0172084287376069,-0.0033565496126386077,-0.0033565496126386077,0.1,False,0.0,0.013684621835878034
5,0.014282062687689204,0.9999473147860215,1.0221112018109952,-0.0024898438674785567,-0.0024898438674785567,0.1,False,0.0,0.014282062687689204
6,0.04051264937244853,1.0,1.027113424212062,-0.0027625462458443846,-0.0027625462458443846,0.1,False,0.0,0.04051264937244853
7,0.06975448885351164,1.0,1.0321155616643378,-0.007256059617280457,-0.007256059617280459,0.1,False,0.0,0.06975448885351164
8,0.0672614944457275,1.0,1.0371171987556658,-0.012357947944752864,-0.012357947944752864,0.1,False,0.0,0.0672614944457275
9,0.03714478084892697,1.0,1.0421184110710007,-0.012466204724709433,-0.012466204724709433,0.1,False,0.0,0.03714478084892697
10,0.0030939214586950666,1.0,1.0471192632649844,-0.008154403178544526,-0.008154403178544526,0.1,False,0.0,0.0030939214586950666
11,-0.015782704850013717,1.0,1.0521198106361183,-0.0030541086098361024,-0.0030541086098361024,0.1,False,0.0,-0.015782704850013717
12,-0.07402485330431552,1.0,1.0571201004737882,-0.00015583301351878624,-0.00015583301351878656,0.1,False,0.0,-0.07402485330431552
13,-0.10613643172574168,1.0,1.062120173211008,0.009556930920543197,0.009556930920543197,0.1,False,0.0,-0.10613643172574168
14,-0.1415017003908117,1.0,1.0671200634109825,0.015278248580817283,0.015278248580817283,0.1,False,0.0,-0.1415017003908117
15,-0.16580689765304707,1.0,1.0721198006115142,0.022017578025947768,0.022017578025947768,0.1,False,0.0,-0.16580689765304707
16,-0.17765492335648447,1.0,1.077119410047795,0.027255066163396534,0.027255066163396534,0.1,False,0.0,-0.17765492335648447
17,-0.17690940510746583,1.0,1.0821189132711504,0.030734076223124202,0.030734076223124202,0.1,False,0.0,-0.17690940510746583
18,-0.155689059937575,1.0,1.0871183286787574,0.03231578127313133,0.03231578127313133,0.1,False,0.0,-0.155689059937575
19,-0.10952652148959663,1.0,1.0921176719671788,0.03056677113549822,0.03056677113549822,0.1,False,0.0,-0.10952652148959663
20,-0.07994850026489034,1.0,1.0971169565207068,0.024588002423528904,0.024588002423528904,0.1,False,0.0,-0.07994850026489034
21,-0.026599777959668433,1.0,1.102116193743908,0.0210502913458115,0.0210502913458115,0.1,False,0.0,-0.026599777959668433
22,-0.004046364726616109,1.0,1.1071153933464113,0.013171356573141802,0.013171356573141802,0.1,False,0.0,-0.004046364726616109
23,0.020909031679392565,1.0,1.1121145635868173,0.010013580089883133,0.010013580089883133,0.1,False,0.0,0.020909031679392565
24,0.05147383099885977,1.0,1.1171137114816052,0.006046768413150167,0.006046768413150167,0.1,False,0.0,0.05147383099885977
25,0.06970291784670711,1.0,1.1221128429840825,0.0009136537877607374,0.000913653787760738,0.1,False,0.0,0.06970291784670711
26,0.0642296252046437,1.0,1.1271119631376727,-0.0024437241430537143,-0.0024437241430537143,0.1,False,0.0,0.0642296252046437
27,0.039796678656328084,1.0,1.132111076207236,-0.002122812221851177,-0.002122812221851177,0.1,False,0.0,0.039796678656328084
28,0.016695095097188282,1.0,1.1371101857915744,0.0012579208972703989,0.0012579208972703993,0.1,False,0.0,0.016695095097188282
29,0.00742687649915134,1.0,1.1421092949198195,0.004548219302234432,0.004548219302234432,0.1,False,0.0,0.00742687649915134
30,-0.01509531585224513,1.0,1.1471084061340173,0.005781183137181842,0.005781183137181842,0.1,False,0.0,-0.01509531585224513
31,-0.02892257013119135,1.0,1.1521075215598895,0.009389988990933922,0.009389988990933922,0.1,False,0.0,-0.02892257013119135
32,-0.03505170839509715,1.0,1.1571066429674592,0.011701133205653066,0.011701133205653066,0.1,False,0.0,-0.03505170839509715
33,-0.023284231071286018,1.0,1.1621057718229992,0.012924832333099665,0.012924832333099665,0.1,False,0.0,-0.023284231071286018
34,-0.009747237639915177,1.0,1.1671049093335413,0.011285173351714554,0.011285173351714554,0.1,False,0.0,-0.009747237639915177
35,0.007729605021440125,1.0,1.1721040564850091,0.00934147961676272,0.00934147961676272,0.1,False,0.0,0.007729605021440125
36,0.005269465090253385,1.0,1.1771032140748903,0.006619018071965118,0.006619018071965118,0.1,False,0.0,0.005269465090253385
37,0.005941813684905609,1.0,1.1821023827402233,0.0070549663062958465,0.0070549663062958465,0.1,False,0.0,0.005941813684905609
38,0.02192862851456253,1.0,1.187101562981571,0.006875900949093923,0.006875900949093923,0.1,False,0.0,0.02192862851456253
39,0.06374559441897679,1.0,1.1921007551835565,0.004166705642089731,0.004166705642089731,0.1,False,0.0,0.06374559441897679
40,0.05739642995654398,1.0,1.1970999596324416,-0.00289827609421072,-0.00289827609421072,0.1,False,0.0,0.05739642995654398
41,0.08263522095520875,1.0,1.2020991765311844,-0.002230868942210155,-0.002230868942210155,0.1,False,0.0,0.08263522095520875
42,0.1195281850369549,1.0,1.2070984060123233,-0.007032567534328544,-0.007032567534328544,0.1,False,0.0,0.1195281850369549
43,0.14994261040710335,1.0,1.2120976481490036,-0.013831719035458502,-0.013831719035458502,0.1,False,0.0,0.14994261040710335
44,0.1619396292293294,1.0,1.21709690296441,-0.019854437712782218,-0.019854437712782218,0.1,False,0.0,0.1619396292293294
45,0.15264199985737745,1.0,1.2220961704398314,-0.023162882389121883,-0.023162882389121883,0.1,False,0.0,0.15264199985737745
46,0.16638946144534356,1.0,1.2270954505215539,-0.023166890092737803,-0.023166890092737803,0.1,False,0.0,0.16638946144534356
47,0.20092832725395238,1.0,1.2320947431267508,-0.02703117449114566,-0.02703117449114566,0.1,False,0.0,0.20092832725395238
48,0.24327313587639524,1.0,1.237094048148508,-0.03434603606030036,-0.03434603606030036,0.1,False,0.0,0.24327313587639524
49,0.27667079974361947,1.0,1.2420933654601143,-0.04317732436931375,-0.04317732436931375,0.1,False,0.0,0.27667079974361947
50,0.28125803361592805,1.0,1.2470926949187147,-0.05089999907830226,-0.05089999907830226,0.1,False,0.0,0.28125803361592805
51,0.23626085963362162,1.0,1.2520920363684243,-0.05422780191533834,-0.05422780191533834,0.1,False,0.0,0.23626085963362162
52,0.18986011085406745,1.0,1.2570913896429767,-0.049543327967200894,-0.049543327967200894,0.1,False,0.0,0.18986011085406745
53,0.1602777525042051,1.0,1.2620907545679727,-0.04447339531002496,-0.04447339531002496,0.1,False,0.0,0.1602777525042051
54,0.10055132757917268,1.0,1.2670901309627878,-0.041739729425165815,-0.041739729425165815,0.1,False,0.0,0.10055132757917268
55,0.0641982219620312,1.0,1.2720895186421886,-0.03360541456275166,-0.03360541456275166,0.1,False,0.0,0.0641982219620312
56,0.042244703050783775,1.0,1.2770889174177,-0.028934670855648097,-0.028934670855648097,0.1,False,0.0,0.042244703050783775
57,0.03556381561479719,1.0,1.2820883270987538,-0.026150487569704183,-0.026150487569704183,0.1,False,0.0,0.03556381561479719
58,-0.00036545247190466736,1.0,1.287087747493661,-0.02559562839930573,-0.02559562839930573,0.1,False,0.0,-0.00036545247190466736
59,-0.0391494416613344,1.0,1.29208717841042,-0.02002709337767711,-0.02002709337767711,0.1,False,0.0,-0.0391494416613344
60,-0.07225617424212279,1.0,1.2970866196573985,-0.013800872256032942,-0.013800872256032942,0.1,False,0.0,-0.07225617424212279
61,-0.11419090508475155,1.0,1.3020860710438948,-0.008146364166145302,-0.008146364166145302,0.1,False,0.0,-0.11419090508475155
62,-0.10040892511997822,1.0,1.3070855323806063,-0.0006612774993324277,-0.0006612774993324271,0.1,False,0.0,-0.10040892511997822
63,-0.1042686244476938,1.0,1.312085003480013,-0.0020587855076930578,-0.0020587855076930578,0.1,False,0.0,-0.1042686244476938
64,-0.09618585966578878,1.0,1.317084484156689,-0.0003312942883038495,-0.00033129428830384937,0.1,False,0.0,-0.09618585966578878
65,-0.09588688763033566,1.0,1.3220839742275585,-0.0006535051935894392,-0.0006535051935894392,0.1,False,0.0,-0.09588688763033566
66,-0.061894415682278534,1.0,1.3270834735120949,0.0003072206338746599,0.0003072206338746599,0.1,False,0.0,-0.061894415682278534
67,-0.017270976702096433,1.0,1.3320829818324809,-0.004374867000986748,-0.004374867000986748,0.1,False,0.0,-0.017270976702096433
68,0.018195674041257458,1.0,1.3370824990137296,-0.01095945888318585,-0.01095945888318585,0.1,False,0.0,0.018195674041257458
69,-0.013648254013532443,1.0,1.3420820248837775,-0.016406472505680537,-0.016406472505680537,0.1,False,0.0,-0.013648254013532443
70,-0.03316987822221632,1.0,1.3470815592735461,-0.011089537284537862,-0.011089537284537862,0.1,False,0.0,-0.03316987822221632
71,-0.028613445429266735,1.0,1.3520811020169883,-0.007903528694089754,-0.007903528694089754,0.1,False,0.0,-0.028613445429266735
72,-0.007752497885758265,1.0,1.3570806529511108,-0.008445327500749326,-0.008445327500749326,0.1,False,0.0,-0.007752497885758265
73,-0.014694253401426051,1.0,1.3620802119159854,-0.011594771741921368,-0.011594771741921368,0.1,False,0.0,-0.014694253401426051
74,0.01682145068018096,1.0,1.3670797787547437,-0.010239749662201881,-0.010239749662201881,0.1,False,0.0,0.01682145068018096
75,0.002670852645020851,1.0,1.3720793533135647,-0.015366064538828394,-0.015366064538828394,0.1,False,0.0,0.002670852645020851
76,-0.023085997874121172,1.0,1.3770789354416506,-0.01299618554730398,-0.01299618554730398,0.1,False,0.0,-0.023085997874121172
77,-0.019621413896343313,1.0,1.3820785249911993,-0.008832160475787573,-0.008832160475787573,0.1,False,0.0,-0.019621413896343313
78,-0.01974114591323079,1.0,1.3870781218173676,-0.009330962540472339,-0.009330962540472339,0.1,False,0.0,-0.01974114591323079
79,0.015946445920375977,1.0,1.3920777257782306,-0.009094085382838917,-0.009094085382838917,0.1,False,0.0,0.015946445920375977
80,0.03745882993670313,1.0,1.39707733673474,-0.014821532560186658,-0.014821532560186658,0.1,False,0.0,0.03745882993670313
81,0.029273578214953157,1.0,1.4020769545506773,-0.01833792721509908,-0.01833792721509908,0.1,False,0.0,0.029273578214953157
82,0.011834249927498037,1.0,1.4070765790926039,-0.017224689424557658,-0.017224689424557658,0.1,False,0.0,0.011834249927498037
83,-0.02405676498285747,1.0,1.4120762102298139,-0.014671608221320137,-0.014671608221320137,0.1,False,0.0,-0.02405676498285747
84,-0.07077807821660102,1.0,1.4170758478342806,-0.008936678215200835,-0.008936678215200835,0.1,False,0.0,-0.07077807821660102
85,-0.08502177076802797,1.0,1.4220754917806064,-0.0011557186580329645,-0.0011557186580329634,0.1,False,0.0,-0.08502177076802797
86,-0.07885563533966505,1.0,1.4270751419459708,0.0016361872082674552,0.0016361872082674557,0.1,False,0.0,-0.07885563533966505
87,-0.04984216595669921,1.0,1.4320747982100783,0.00137736427953093,0.00137736427953093,0.1,False,0.0,-0.04984216595669921
88,-0.04677378720668873,1.0,1.4370744604551073,-0.002613318472074572,-0.002613318472074571,0.1,False,0.0,-0.04677378720668873
89,-0.009896618032275725,1.0,1.442074128565658,-0.0024501668687115243,-0.0024501668687115243,0.1,False,0.0,-0.009896618032275725
90,0.0013145238283164406,1.0,1.4470738024287026,-0.008085628807097131,-0.008085628807097131,0.1,False,0.0,0.0013145238283164406
91,0.038471099003595834,1.0,1.4520734819335352,-0.009626449160586198,-0.009626449160586198,0.1,False,0.0,0.038471099003595834
92,0.044202305527984286,1.0,1.4570731669717218,-0.015740319026802188,-0.015740319026802188,0.1,False,0.0,0.044202305527984286
93,0.02562972154760699,1.0,1.4620728574370534,-0.016853470848834953,-0.016853470848834953,0.1,False,0.0,0.02562972154760699
94,0.016781060789829834,1.0,1.467072553225496,-0.014178057724225833,-0.014178057724225833,0.1,False,0.0,0.016781060789829834
95,0.029116826399042138,1.0,1.4720722542351465,-0.013076912757793158,-0.013076912757793158,0.1,False,0.0,0.029116826399042138
96,0.03382449456385738,1.0,1.4770719603661862,-0.015345552421367361,-0.015345552421367361,0.1,False,0.0,0.03382449456385738
97,0.01762227882719123,1.0,1.482071671520835,-0.01634417900706184,-0.01634417900706184,0.1,False,0.0,0.01762227882719123
98,-0.02207617248208628,1.0,1.4870713876033097,-0.01396461013142494,-0.01396461013142494,0.1,False,0.0,-0.02207617248208628
99,-0.07459089818826009,1.0,1.4920711085197789,-0.007648103296776783,-0.007648103296776783,0.1,False,0.0,-0.07459089818826009
100,-0.08987850995929336,1.0,1.4970708341783232,0.0010519121874132682,0.0010519121874132677,0.1,False,0.0,-0.08987850995929336
101,-0.07801470439198534,1.0,1.5020705644888934,0.0040204763690503496,0.0040204763690503496,0.1,False,0.0,-0.07801470439198534
102,-0.07142782546863576,1.0,1.5070702993632703,0.002858144073843951,0.002858144073843951,0.1,False,0.0,-0.07142782546863576
103,-0.08621841681943887,1.0,1.5120700387150268,0.0026160520498916227,0.0026160520498916227,0.1,False,0.0,-0.08621841681943887
104,-0.07177871900918271,1.0,1.5170697824594888,0.005825089742351396,0.005825089742351396,0.1,False,0.0,-0.07177871900918271
105,-0.08764489374173569,1.0,1.522069530513698,0.004201540525938444,0.004201540525938444,0.1,False,0.0,-0.08764489374173569
106,-0.10626786518601865,1.0,1.5270692827963765,0.0076397509084956015,0.0076397509084956015,0.1,False,0.0,-0.10626786518601865
107,-0.09912173986433219,1.0,1.5320690392278904,0.011512416057268611,0.011512416057268611,0.1,False,0.0,-0.09912173986433219
108,-0.13636924644484164,1.0,1.537068799730215,0.011277100077063148,0.011277100077063148,0.1,False,0.0,-0.13636924644484164
109,-0.14009092606215243,1.0,1.542068564226903,0.018494280320001156,0.018494280320001156,0.1,False,0.0,-0.14009092606215243
110,-0.1449949438556186,1.0,1.547068332643048,0.02025228656144011,0.02025228656144011,0.1,False,0.0,-0.1449949438556186
111,-0.1344477721908826,1.0,1.5520681049052547,0.022444932698073152,0.022444932698073152,0.1,False,0.0,-0.1344477721908826
112,-0.12158514094013839,1.0,1.557067880941606,0.022114627533522366,0.022114627533522366,0.1,False,0.0,-0.12158514094013839
113,-0.10237666565128345,1.0,1.5620676606816344,0.021387191497796065,0.021387191497796065,0.1,False,0.0,-0.10237666565128345
114,-0.06852318979288351,1.0,1.567067444056288,0.019491611796751997,0.019491611796751997,0.1,False,0.0,-0.06852318979288351
115,-0.060119075129688206,1.0,1.572067230997904,0.015010952312503571,0.015010952312503571,0.1,False,0.0,-0.060119075129688206
116,-0.01924208467805231,1.0,1.577067021440179,0.014504222031492386,0.014504222031492386,0.1,False,0.0,-0.01924208467805231
117,0.0188913384443939,1.0,1.582066815318141,0.008370257055796882,0.008370257055796882,0.1,False,0.0,0.0188913384443939
118,0.05783417829580584,1.0,1.5870666125681205,0.002477791606961149,0.002477791606961149,0.1,False,0.0,0.05783417829580584
119,0.1001594199746241,1.0,1.5920664131277253,-0.003946832654082495,-0.003946832654082495,0.1,False,0.0,0.1001594199746241
120,0.13522651545578052,1.0,1.5970662169358127,-0.011317507516615912,-0.011317507516615912,0.1,False,0.0,0.13522651545578052
121,0.16237530023493926,1.0,1.602066023932465,-0.01788628811616121,-0.01788628811616121,0.1,False,0.0,0.16237530023493926
122,0.16766076931591656,1.0,1.6070658340589623,-0.02353484897117243,-0.02353484897117243,0.1,False,0.0,0.16766076931591656
123,0.1283711175874428,1.0,1.6120656472577597,-0.0258730971322891,-0.0258730971322891,0.1,False,0.0,0.1283711175874428
124,0.09600404977383274,1.0,1.6170654634724615,-0.020995909824035756,-0.020995909824035756,0.1,False,0.0,0.09600404977383274
125,0.055010319671096715,1.0,1.6220652826477988,-0.017142425653221757,-0.017142425653221757,0.1,False,0.0,0.055010319671096715
126,0.0001911607411957513,1.0,1.6270651047296054,-0.011491709360787566,-0.011491709360787566,0.1,False,0.0,0.0001911607411957513
127,-0.025397572607447835,1.0,1.6320649296647955,-0.0031877945557513892,-0.003187794555751387,0.1,False,0.0,-0.025397572607447835
128,-0.051641730579027,1.0,1.6370647574013406,0.0007291086191320836,0.0007291086191320834,0.1,False,0.0,-0.051641730579027
129,-0.08445961864603126,1.0,1.6420645878882487,0.005186082168396841,0.005186082168396841,0.1,False,0.0,-0.08445961864603126
130,-0.11981138692364442,1.0,1.647064421075543,0.010992803945480344,0.010992803945480344,0.1,False,0.0,-0.11981138692364442
131,-0.1237066601523175,1.0,1.6520642569142399,0.017508886337622414,0.017508886337622414,0.1,False,0.0,-0.1237066601523175
132,-0.10916278739209258,1.0,1.6570640953563296,0.01914150495315291,0.01914150495315291,0.1,False,0.0,-0.10916278739209258
133,-0.06777372800824914,1.0,1.6620639363547547,0.01794091703710671,0.01794091703710671,0.1,False,0.0,-0.06777372800824914
134,-0.03885918320812551,1.0,1.6670637798633936,0.012249224289870976,0.012249224289870976,0.1,False,0.0,-0.03885918320812551
135,-0.0010482419619103588,1.0,1.6720636258370365,0.008375481489436004,0.008375481489436004,0.1,False,0.0,-0.0010482419619103588
136,0.048721473475113776,1.0,1.6770634742313708,0.002660944343446287,0.002660944343446287,0.1,False,0.0,0.048721473475113776
137,0.09796927557903087,1.0,1.6820633250029602,-0.005363480352003325,-0.0053634803520033235,0.1,False,0.0,0.09796927557903087
138,0.07188005843037117,1.0,1.6870631781092282,-0.013727211943382554,-0.013727211943382557,0.1,False,0.0,0.07188005843037117
139,0.07728080938751163,1.0,1.6920630335084388,-0.01008060783987185,-0.01008060783987185,0.1,False,0.0,0.07728080938751163
140,0.08142618605185763,1.0,1.6970628911596808,-0.011852468385952835,-0.011852468385952835,0.1,False,0.0,0.08142618605185763
141,0.08482321159751337,1.0,1.7020627510228488,-0.013281004500366546,-0.013281004500366546,0.1,False,0.0,0.08482321159751337
142,0.08920872518802958,1.0,1.7070626130586284,-0.014634300341477901,-0.014634300341477901,0.1,False,0.0,0.08920872518802958
143,0.09245095900256804,1.0,1.7120624772284792,-0.016190145560204792,-0.016190145560204792,0.1,False,0.0,0.09245095900256804
144,0.09164924869018418,1.0,1.717062343494618,-0.01759413054375537,-0.01759413054375537,0.1,False,0.0,0.09164924869018418
145,0.07705575969070733,1.0,1.7220622118200042,-0.0183661028190381,-0.0183661028190381,0.1,False,0.0,0.07705575969070733
146,0.02667023122496064,1.0,1.727062082168325,-0.01686488639390109,-0.01686488639390109,0.1,False,0.0,0.02667023122496064
147,-0.007854582916830414,1.0,1.732061954503979,-0.009359007199491074,-0.009359007199491074,0.1,False,0.0,-0.007854582916830414
148,-0.04487141563506356,1.0,1.737061828792061,-0.004196903534997845,-0.004196903534997845,0.1,False,0.0,-0.04487141563506356
149,-0.040484736371282,1.0,1.7420617049983507,0.0018192876405464155,0.0018192876405464155,0.1,False,0.0,-0.040484736371282
150,-0.043130155721547284,1.0,1.7470615830892944,0.0013177120427999122,0.0013177120427999122,0.1,False,0.0,-0.043130155721547284
151,-0.04315004749838245,1.0,1.7520614630319946,0.002188019094239459,0.002188019094239459,0.1,False,0.0,-0.04315004749838245
152,-0.05816655114426078,1.0,1.757061344794194,0.0026067501703079783,0.0026067501703079783,0.1,False,0.0,-0.05816655114426078
153,-0.07240138915496454,1.0,1.762061228344265,0.005530870899846594,0.005530870899846594,0.1,False,0.0,-0.07240138915496454
154,-0.07467109906205481,1.0,1.7670611136511933,0.008385420499190756,0.008385420499190756,0.1,False,0.0,-0.07467109906205481
155,-0.10438560231383542,1.0,1.7720610006845678,0.009400797207253163,0.009400797207253163,0.1,False,0.0,-0.10438560231383542
156,-0.10799627088200627,1.0,1.7770608894145674,0.015066497478226751,0.015066497478226751,0.1,False,0.0,-0.10799627088200627
157,-0.10527958439175754,1.0,1.782060779811948,0.01653143746417078,0.01653143746417078,0.1,False,0.0,-0.10527958439175754
158,-0.12017829034197111,1.0,1.7870606718480324,0.01713876620420053,0.01713876620420053,0.1,False,0.0,-0.12017829034197111
159,-0.16707460426607715,1.0,1.7920605654946957,0.020681047354795052,0.020681047354795052,0.1,False,0.0,-0.16707460426607715
160,-0.1685262198412078,1.0,1.797060460724357,0.029578226133915083,0.029578226133915083,0.1,False,0.0,-0.1685262198412078
161,-0.16412370228828843,1.0,1.8020603575099663,0.031208562478502913,0.031208562478502913,0.1,False,0.0,-0.16412370228828843
162,-0.15781672408455885,1.0,1.8070602558249942,0.03215429706967959,0.03215429706967959,0.1,False,0.0,-0.15781672408455885
163,-0.14675390232028507,1.0,1.8120601556434197,0.032774990816060875,0.032774990816060875,0.1,False,0.0,-0.14675390232028507
164,-0.09291194284176846,1.0,1.8170600569397228,0.0325545715132594,0.0325545715132594,0.1,False,0.0,-0.09291194284176846
165,-0.05230125816217355,1.0,1.8220599596888702,0.025150722193614132,0.025150722193614132,0.1,False,0.0,-0.05230125816217355
166,-0.022602116395981413,1.0,1.8270598638663094,0.019661519722090164,0.019661519722090164,0.1,False,0.0,-0.022602116395981413
167,-0.02980539738906324,1.0,1.8320597694479546,0.01549813887860157,0.01549813887860157,0.1,False,0.0,-0.02980539738906324
168,0.005772527607991207,1.0,1.837059676410181,0.017098099538010125,0.017098099538010125,0.1,False,0.0,0.005772527607991207
169,0.046612535973863105,1.0,1.8420595847298118,0.011446998276431225,0.011446998276431225,0.1,False,0.0,0.046612535973863105
170,0.09255689476005953,1.0,1.847059494384112,0.004823299161598904,0.004823299161598904,0.1,False,0.0,0.09255689476005953
171,0.1156041523908244,1.0,1.8520594053507766,-0.003024549706453101,-0.003024549706453102,0.1,False,0.0,0.1156041523908244
172,0.14068668311606233,1.0,1.857059317607924,-0.0075002972680434845,-0.0075002972680434845,0.1,False,0.0,0.14068668311606233
173,0.15837392458505928,1.0,1.8620592311340858,-0.012681755346556639,-0.012681755346556639,0.1,False,0.0,0.15837392458505928
174,0.17156382742739007,1.0,1.867059145908199,-0.016874209077219326,-0.016874209077219326,0.1,False,0.0,0.17156382742739007
175,0.16537513427657327,1.0,1.8720590619095974,-0.02054134874608285,-0.02054134874608285,0.1,False,0.0,0.16537513427657327
176,0.12319389724932929,1.0,1.8770589791180035,-0.02115052454026718,-0.02115052454026718,0.1,False,0.0,0.12319389724932929
177,0.1117219200245859,1.0,1.8820588975135208,-0.01583932269541531,-0.01583932269541531,0.1,False,0.0,0.1117219200245859
178,0.05938875801568705,1.0,1.8870588170766254,-0.015420000870764665,-0.015420000870764665,0.1,False,0.0,0.05938875801568705
179,0.022720089204746868,1.0,1.892058737788159,-0.007918747040881772,-0.007918747040881772,0.1,False,0.0,0.022720089204746868
180,-0.01899520162688164,1.0,1.8970586596293204,-0.0027396345704759676,-0.0027396345704759667,0.5,False,0.0,-0.01899520162688164
181,-0.14409142340101047,1.0,1.9020585825816598,0.003737890802661255,0.003737890802661254,0.5,False,0.0,-0.14409142340101047
182,-0.1446276984791224,1.0,1.9070585066270707,0.024443523888445687,0.024443523888445687,0.5,False,0.0,-0.1446276984791224
183,-0.1520598093758845,1.0,1.9120584317477818,0.0252228824547776,0.0252228824547776,0.5,False,0.0,-0.1520598093758845
184,-0.19248618301215414,1.0,1.9170583579263525,0.02789967219796266,0.02789967219796266,0.5,False,0.0,-0.19248618301215414
185,-0.14551960376534567,1.0,1.922058285145664,0.03608645564996169,0.03608645564996169,0.5,False,0.0,-0.14551960376534567
186,-0.159295016945299,1.0,1.9270582133889143,0.02997230708329541,0.02997230708329541,0.5,False,0.0,-0.159295016945299
187,-0.012161629869393516,1.0,1.932058142639611,0.03399602118430197,0.03399602118430197,0.5,False,0.0,-0.012161629869393516
188,0.10670250410948957,1.0,1.937058072881565,0.01108217662007493,0.011082176620074933,0.5,False,0.0,0.10670250410948957
189,0.12199339945350954,1.0,1.9420580040988837,-0.007644852999270294,-0.007644852999270294,0.5,False,0.0,0.12199339945350954
190,-0.07538212252131644,1.0,1.9470579362759677,-0.010536981863599205,-0.010536981863599205,0.5,False,0.0,-0.07538212252131644
191,-0.3051740560446879,1.0,1.952057869397501,0.02109916616175093,0.021099166161750938,0.5,False,0.0,-0.3051740560446879
192,-0.297952230755664,1.0,1.957057803448448,0.0588141952199948,0.0588141952199948,0.5,False,0.0,-0.297952230755664
193,-0.27158930883836724,1.0,1.9620577384140472,0.05928836118132348,0.05928836118132348,0.5,False,0.0,-0.27158930883836724
194,-0.2689887040341798,1.0,1.9670576742798047,0.05793496940234301,0.05793496940234301,0.5,False,0.0,-0.2689887040341798
195,-0.0767415385237256,1.0,1.9720576110314905,0.06037733962473534,0.06037733962473534,0.5,False,0.0,-0.0767415385237256
196,-0.08570752822050307,1.0,1.9770575486551314,0.03116980081916687,0.03116980081916687,0.5,False,0.0,-0.08570752822050307
197,-0.13605602588856777,1.0,1.9820574871370078,0.03457905348713192,0.03457905348713192,0.5,False,0.0,-0.13605602588856777
198,-0.19402691091165586,1.0,1.987057426463647,0.04374018344405502,0.04374018344405502,0.5,False,0.0,-0.19402691091165586
199,-0.14543389356457453,1.0,1.9920573666218178,0.05442181963076493,0.05442181963076493,0.5,False,0.0,-0.14543389356457453
