t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,-0.000152408551020174,0.809197134679951,1.0015504076004063,0.00012020552784658485,0.00012020552784658485,0.0,False,0.0,-0.000152408551020174
1,0.0004311189742843485,0.8731487367914409,1.0046561125583617,2.8196338212640087e-05,2.819633821264008e-05,0.0,False,0.0,0.0004311189742843485
2,0.00030660285194068543,0.9275462878949947,1.008399733395867,-6.371481866889314e-05,-6.371481866889314e-05,0.0,False,0.0,0.00030660285194068543
3,0.0012068544053067168,0.9682331694970208,1.012685338857954,-4.385516695086143e-05,-4.385516695086143e-05,0.0,False,0.0,0.0012068544053067168
4,0.001117590311734854,0.9928547823322759,1.017374549787787,-0.0001971100500630915,-0.0001971100500630915,0.0,False,0.0,0.001117590311734854
5,0.00127206545101594,1.0,1.0223070752620773,-0.0001889592452630332,-0.0001889592452630332,0.0,False,0.0,0.00127206545101594
6,0.00021806908367627673,1.0,1.027309806849228,-0.00022631360606247322,-0.00022631360606247322,0.0,False,0.0,0.00021806908367627673
7,0.001449619778175108,1.0,1.0323119484586563,-6.3144012758562e-05,-6.3144012758562e-05,0.0,False,0.0,0.001449619778175108
8,0.0012960927861935994,1.0,1.037313588630213,-0.00027608609708616873,-0.00027608609708616873,0.0,False,0.0,0.0012960927861935994
9,0.0013421377066613175,1.0,1.0423148031082166,-0.0002577075100319964,-0.0002577075100319964,0.0,False,0.0,0.0013421377066613175
10,4.0935933773187753e-05,1.0,1.0473156566847213,-0.00027923305664346264,-0.00027923305664346264,0.0,False,0.0,4.0935933773187753e-05
11,-0.0003591092243034596,1.0,1.0523162047767027,-7.637866988784e-05,-7.637866988783998e-05,0.0,False,0.0,-0.0003591092243034596
12,-0.0018959980560207435,1.0,1.0573164947756757,-1.81877436221772e-05,-1.8187743622177192e-05,0.0,False,0.0,-0.0018959980560207435
13,-0.0022043782167524076,1.0,1.0623165672026706,0.00023812662373746664,0.00023812662373746664,0.0,False,0.0,-0.0022043782167524076
14,-0.0022039287607198196,1.0,1.0673164566967215,0.0002990563779888266,0.0002990563779888266,0.0,False,0.0,-0.0022039287607198196
15,-0.002064372174104507,1.0,1.0723161928609308,0.0003191752694905511,0.0003191752694905511,0.0,False,0.0,-0.002064372174104507
16,-0.0037297802377599634,1.0,1.077315800986694,0.0003180508604558029,0.0003180508604558029,0.0,False,0.0,-0.0037297802377599634
17,-0.003373020172396637,1.0,1.0823153026736767,0.0006159896602833455,0.0006159896602833455,0.0,False,0.0,-0.003373020172396637
18,-0.0028091337139289014,1.0,1.0873147163605983,0.0005840728434287003,0.0005840728434287003,0.0,False,0.0,-0.0028091337139289014
19,-0.0022898712333640665,1.0,1.0923140577796882,0.0005263384534392025,0.0005263384534392025,0.0,False,0.0,-0.0022898712333640665
20,-0.0017207904936302769,1.0,1.0973133403458224,0.0004716155375555354,0.0004716155375555354,0.0,False,0.0,-0.0017207904936302769
21,-0.0012021958991154335,1.0,1.1023125754897574,0.000403162421976756,0.000403162421976756,0.0,False,0.0,-0.0012021958991154335
22,-0.0016155221903615456,1.0,1.1073117729435118,0.0003376981086619975,0.0003376981086619975,0.0,False,0.0,-0.0016155221903615456
23,-0.0006329349485789051,1.0,1.1123109409847887,0.0004214437995670955,0.0004214437995670955,0.0,False,0.0,-0.0006329349485789051
24,-0.0001731056934577519,1.0,1.1173100866463284,0.000272009581587316,0.000272009581587316,0.0,False,0.0,-0.0001731056934577519
25,8.431183453580774e-05,1.0,1.1223092158952428,0.00020790279817368946,0.00020790279817368946,0.0,False,0.0,8.431183453580774e-05
26,-0.00039002250248975474,1.0,1.1273083337866359,0.000169661520992063,0.000169661520992063,0.0,False,0.0,-0.00039002250248975474
27,0.0005537122854606914,1.0,1.1323074445952142,0.00024910240776090963,0.00024910240776090963,0.0,False,0.0,0.0005537122854606914
28,0.0011515567709372732,1.0,1.1373065519280408,9.349665196387976e-05,9.349665196387976e-05,0.0,False,0.0,0.0011515567709372732
29,0.0007220556561456553,1.0,1.14230565882114,-5.6202467521370476e-06,-5.62024675213704e-06,0.0,False,0.0,0.0007220556561456553
30,0.0006714532366339427,1.0,1.1473047678222728,5.774843750675828e-05,5.774843750675828e-05,0.0,False,0.0,0.0006714532366339427
31,0.0020281749652702845,1.0,1.1523038810618556,5.63508758954963e-05,5.63508758954963e-05,0.0,False,0.0,0.0020281749652702845
32,0.0015406055427219531,1.0,1.157303000313733,-0.00017588307794154612,-0.00017588307794154612,0.0,False,0.0,0.0015406055427219531
33,0.002135992873975018,1.0,1.1623021270472453,-0.0001070879730794079,-0.0001070879730794079,0.0,False,0.0,0.002135992873975018
34,0.0019329523334673353,1.0,1.1673012624718448,-0.00022425374202992621,-0.00022425374202992621,0.0,False,0.0,0.0019329523334673353
35,0.0009546679572980513,1.0,1.1723004075753216,-0.00020833661705788265,-0.00020833661705788265,0.0,False,0.0,0.0009546679572980513
36,0.0008418657180294407,1.0,1.1772995631565542,-6.648917719150098e-05,-6.648917719150098e-05,0.0,False,0.0,0.0008418657180294407
37,-0.0003665391026104498,1.0,1.1822987298535672,-6.318039130290783e-05,-6.318039130290783e-05,0.0,False,0.0,-0.0003665391026104498
38,0.00034408321760915375,1.0,1.1872979081675652,0.0001283193383074079,0.0001283193383074079,0.0,False,0.0,0.00034408321760915375
39,0.0004720759365734686,1.0,1.1922970984835182,6.770995253218868e-06,6.770995253218856e-06,0.0,False,0.0,0.0004720759365734686
40,0.00037422367469621575,1.0,1.1972963010877877,-1.365289434963132e-05,-1.365289434963132e-05,0.0,False,0.0,0.00037422367469621575
41,0.0005432960821994688,1.0,1.202295516183224,-1.3622219299561347e-06,-1.3622219299561366e-06,0.0,False,0.0,0.0005432960821994688
42,-0.0012926678820263573,1.0,1.2072947439020816,-3.3757591893721816e-05,-3.3757591893721816e-05,0.0,False,0.0,-0.0012926678820263573
43,-0.0011654233304460428,1.0,1.2122939843170761,0.00026659389979079014,0.00026659389979079014,0.0,False,0.0,-0.0011654233304460428
44,-0.0016135344865129398,1.0,1.2172932374508438,0.00024738219926336653,0.00024738219926336653,0.0,False,0.0,-0.0016135344865129398
