t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,-0.0015803174381892153,0.809197134679951,1.0015504076004063,0.00012020552784658485,0.00012020552784658485,0.0,False,0.0,-0.0015803174381892153
1,-0.0004806746233964767,0.8731454894410497,1.0046561125583617,0.00026522921348270094,0.00026522921348270094,0.0,False,0.0,-0.0004806746233964767
2,-0.00041469420408490534,0.9275434273432346,1.0083997009483707,9.335455409479999e-05,9.335455409479999e-05,0.0,False,0.0,-0.00041469420408490534
3,1.5430330732565452e-05,0.9682308327651747,1.0126852778259934,9.380640761180035e-05,9.380640761180035e-05,0.0,False,0.0,1.5430330732565452e-05
4,0.0002522853792987551,0.9928542096067748,1.0173744655233115,2.6948559388818676e-05,2.6948559388818683e-05,0.0,False,0.0,0.0002522853792987551
5,-0.000560473929341126,1.0,1.0223069853029634,-9.94293477158963e-06,-9.942934771589627e-06,0.0,False,0.0,-0.000560473929341126
6,-0.00030788198667223033,1.0,1.0273097168859393,0.0001238733869610402,0.0001238733869610402,0.0,False,0.0,-0.00030788198667223033
7,-0.0002019202482662626,1.0,1.0323118584919115,8.26713079195755e-05,8.26713079195755e-05,0.0,False,0.0,-0.0002019202482662626
8,-0.0004906738418680944,1.0,1.0373134986606296,6.967603086692054e-05,6.967603086692054e-05,0.0,False,0.0,-0.0004906738418680944
9,0.0005654477968349648,1.0,1.0423147131363244,0.00012026410031792305,0.00012026410031792305,0.0,False,0.0,0.0005654477968349648
10,-0.0003183824910173939,1.0,1.0473155667109755,-5.187787484971482e-05,-5.187787484971483e-05,0.0,False,0.0,-0.0003183824910173939
11,-0.00029671984005169707,1.0,1.0523161148014943,9.552020479764543e-05,9.552020479764543e-05,0.0,False,0.0,-0.00029671984005169707
12,-0.0003577632284927357,1.0,1.0573164047993393,8.980504792039955e-05,8.980504792039955e-05,0.0,False,0.0,-0.0003577632284927357
13,-0.0018577369002560084,1.0,1.0623164772254927,0.0001030354247079231,0.0001030354247079231,0.0,False,0.0,-0.0018577369002560084
14,-0.0005775813287075152,1.0,1.0673163667189478,0.0003552424261749075,0.0003552424261749075,0.0,False,0.0,-0.0005775813287075152
15,-0.0007678438542045152,1.0,1.0723161028827712,0.00015231412826983808,0.00015231412826983808,0.0,False,0.0,-0.0007678438542045152
16,-0.0003352998908355759,1.0,1.0773157110083273,0.00019735445421870622,0.00019735445421870622,0.0,False,0.0,-0.0003352998908355759
17,0.0018752634475016755,1.0,1.0823152126952553,0.00013208901968852544,0.00013208901968852544,0.0,False,0.0,0.0018752634475016755
18,0.0018871820215727666,1.0,1.087314626382252,-0.0002289162317868889,-0.0002289162317868889,0.0,False,0.0,0.0018871820215727666
19,0.0012762092256230753,1.0,1.0923139678015266,-0.00023638396952768324,-0.00023638396952768324,0.0,False,0.0,0.0012762092256230753
