t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,0.0006523270064903746,0.8091889447732044,1.0015504076004063,0.0006661993109569762,0.0006661993109569762,0.0,False,0.0,0.0006523270064903746
1,-0.00019242263741449175,0.8731318790022555,1.0046560306592944,-0.0006870364082698807,-0.0006870364082698809,0.0,False,0.0,-0.00019242263741449175
2,-0.0013575331000661068,0.9275310482352026,1.0083994830539205,0.0002553080672001774,0.0002553080672001774,0.0,False,0.0,-0.0013575331000661068
3,-0.0011350533856832204,0.9682143399193959,1.012684936231478,0.0012258397355710794,0.0012258397355710794,0.0,False,0.0,-0.0011350533856832204
4,-0.0009669688944025305,0.9928433539829997,1.0173739599551181,0.0008813451428206301,0.0008813451428206301,0.0,False,0.0,-0.0009669688944025305
5,0.0009892464795810867,1.0,1.0223063718872016,0.0007534049765683417,0.0007534049765683417,0.0,False,0.0,0.0009892464795810867
6,-0.001157941434155061,1.0,1.0273091034474249,-0.0010261430285429035,-0.0010261430285429035,0.0,False,0.0,-0.001157941434155061
7,-0.0004447007823576336,1.0,1.0323112450348997,0.0011840156969723866,0.0011840156969723866,0.0,False,0.0,-0.0004447007823576336
8,-0.0016965868500402534,1.0,1.0373128851887805,0.00027017174767041564,0.00027017174767041564,0.0,False,0.0,-0.0016965868500402534
9,-8.840597444083448e-05,1.0,1.0423140996527849,0.0015074958081541172,0.0015074958081541172,0.0,False,0.0,-8.840597444083448e-05
10,0.00021966527262156878,1.0,1.0473149532184476,-0.00012225692551926269,-0.00012225692551926282,0.0,False,0.0,0.00021966527262156878
11,0.00046889164820212087,1.0,1.0523155013022947,-0.00021270076774474345,-0.00021270076774474345,0.0,False,0.0,0.00046889164820212087
12,0.0005777771086964845,1.0,1.0573157912954516,-0.00040502048363136295,-0.00040502048363136295,0.0,False,0.0,0.0005777771086964845
13,-0.0009541705380083304,1.0,1.0623158637186128,-0.0004752879422165112,-0.0004752879422165112,0.0,False,0.0,-0.0009541705380083304
14,0.000144201067434041,1.0,1.0673157532105206,0.0009471701480112422,0.0009471701480112422,0.0,False,0.0,0.000144201067434041
15,-0.0006511438228712849,1.0,1.0723154893740265,-0.00024716544660031737,-0.00024716544660031726,0.0,False,0.0,-0.0006511438228712849
16,-0.0003042528338445906,1.0,1.0773150975003078,0.0006163564451336671,0.0006163564451336671,0.0,False,0.0,-0.0003042528338445906
17,-0.00044877598089977894,1.0,1.082314599188842,0.0002017753483924692,0.00020177534839246916,0.0,False,0.0,-0.00044877598089977894
18,-0.0015656652114660065,1.0,1.087314012878186,0.0003763635623664458,0.0003763635623664458,0.0,False,0.0,-0.0015656652114660065
19,0.00011248585630299056,1.0,1.092313354300428,0.0013865588768407525,0.0013865588768407525,0.0,False,0.0,0.00011248585630299056
20,-0.00041628743967105677,1.0,1.0973126368703225,-0.0002913668131746721,-0.0002913668131746722,0.0,False,0.0,-0.00041628743967105677
21,0.0006468376751715176,1.0,1.1023118720185214,0.00039648274725373114,0.00039648274725373114,0.0,False,0.0,0.0006468376751715176
22,-8.933453836141444e-05,1.0,1.1073110694769528,-0.0006450451539183231,-0.0006450451539183231,0.0,False,0.0,-8.933453836141444e-05
23,0.0003552855749991336,1.0,1.1123102375232412,0.0001598082963130834,0.00015980829631308325,0.0,False,0.0,0.0003552855749991336
24,-0.0006880622934696339,1.0,1.1173093831900607,-0.00033758287360257267,-0.00033758287360257267,0.0,False,0.0,-0.0006880622934696339
25,-0.00011157822626127257,1.0,1.122308512444465,0.0006756515789919593,0.0006756515789919593,0.0,False,0.0,-0.00011157822626127257
26,-3.6106709719931536e-05,1.0,1.1273076303415084,2.0084492944014715e-05,2.008449294401481e-05,0.0,False,0.0,-3.6106709719931536e-05
27,-0.00016686938631432156,1.0,1.1323067411558552,1.9828785790984304e-05,1.9828785790984304e-05,0.0,False,0.0,-0.00016686938631432156
28,-0.00025007667051684507,1.0,1.137305848494532,0.00014918703024278406,0.00014918703024278406,0.0,False,0.0,-0.00025007667051684507
29,-0.00021437354298107754,1.0,1.1423049553935325,0.00021004621051777888,0.00021004621051777888,0.0,False,0.0,-0.00021437354298107754
30,6.447321720762282e-05,1.0,1.1473040644005907,0.00016721445908056995,0.00016721445908056995,0.0,False,0.0,6.447321720762282e-05
31,0.0010336337995318376,1.0,1.1523031776461017,-8.50401849887423e-05,-8.50401849887423e-05,0.0,False,0.0,0.0010336337995318376
32,7.3333649480414016e-06,1.0,1.1573022969038906,-0.0009432063095043759,-0.0009432063095043759,0.0,False,0.0,7.3333649480414016e-06
33,0.00012752100010535308,1.0,1.1623014236432825,0.00011728936019162241,0.00011728936019162239,0.0,False,0.0,0.00012752100010535308
34,0.0011617528629809407,1.0,1.167300559073716,-0.00011643931630315987,-0.00011643931630315987,0.0,False,0.0,0.0011617528629809407
35,2.4366454277817447e-05,1.0,1.1722997041829704,-0.0010535101139298232,-0.0010535101139298232,0.0,False,0.0,2.4366454277817447e-05
36,5.6625117615961344e-05,1.0,1.1772988597699159,0.00011699320562212083,0.0001169932056221209,0.0,False,0.0,5.6625117615961344e-05
37,0.00019980022777191716,1.0,1.182298026472569,-4.9171133693346345e-05,-4.9171133693346345e-05,0.0,False,0.0,0.00019980022777191716
38,0.000444647608834699,1.0,1.1872972047921289,-0.00017702119543624845,-0.0001770211954362484,0.0,False,0.0,0.000444647608834699
39,0.0005493785336805389,1.0,1.1922963951135603,-0.00038509977279529306,-0.00038509977279529306,0.0,False,0.0,0.0005493785336805389
40,0.00036036795645201525,1.0,1.1972955977232231,-0.00045207053792593193,-0.00045207053792593193,0.0,False,0.0,0.00036036795645201525
41,0.0006491785732279056,1.0,1.2022948128239639,-0.00026561309589418934,-0.00026561309589418934,0.0,False,0.0,0.0006491785732279056
42,0.0002387803282649706,1.0,1.2072940405480355,-0.0005540001325954313,-0.0005540001325954313,0.0,False,0.0,0.0002387803282649706
43,0.0009065580401481475,1.0,1.2122932809681533,-0.0001417764732164243,-0.0001417764732164243,0.0,False,0.0,0.0009065580401481475
44,-0.000641166633991801,1.0,1.217292534106952,-0.0008053797575444993,-0.0008053797575444993,0.0,False,0.0,-0.000641166633991801
45,0.0006683747571576841,1.0,1.2222917999450726,0.0006986602680902347,0.0006986602680902347,0.0,False,0.0,0.0006683747571576841
46,0.00024699794685206013,1.0,1.2272910784280757,-0.0006918447726640855,-0.0006918447726640855,0.0,False,0.0,0.00024699794685206013
47,-0.0002728854639396083,1.0,1.2322903694723444,-0.00014703314024497324,-0.0001470331402449732,0.0,False,0.0,-0.0002728854639396083
48,0.0013206942573588537,1.0,1.2372896729701266,0.00028069438044668686,0.00028069438044668675,0.0,False,0.0,0.0013206942573588537
49,5.222341449031831e-05,1.0,1.2422889887938355,-0.0012477849724428986,-0.0012477849724428986,0.0,False,0.0,5.222341449031831e-05
50,0.0007276972731536613,1.0,1.2472883167997146,0.0001104377695519696,0.00011043776955196967,0.0,False,0.0,0.0007276972731536613
51,-0.000692794486773595,1.0,1.252287656830959,-0.0006632146815625302,-0.0006632146815625302,0.0,False,0.0,-0.000692794486773595
52,0.0003561104183037263,1.0,1.2572870087203718,0.0007246946006101468,0.0007246946006101468,0.0,False,0.0,0.0003561104183037263
53,0.00017175208861346455,1.0,1.262286372292619,-0.00041075692325225966,-0.0004107569232522594,0.0,False,0.0,0.00017175208861346455
54,-0.0015720291131265313,1.0,1.2672857473661427,-0.00011527867132794022,-0.00011527867132794015,0.0,False,0.0,-0.0015720291131265313
55,-0.0001255645929423331,1.0,1.2722851337547818,0.0014668770347100247,0.0014668770347100247,0.0,False,0.0,-0.0001255645929423331
56,0.00028650866277642043,1.0,1.2772845312691419,-7.312406806823729e-05,-7.312406806823703e-05,0.0,False,0.0,0.00028650866277642043
57,-1.2798525309671356e-05,1.0,1.2822839397177503,-0.0002786557209073868,-0.0002786557209073868,0.0,False,0.0,-1.2798525309671356e-05
58,-0.00015380538074479205,1.0,1.2872833589080255,4.61556828180681e-05,4.615568281806804e-05,0.0,False,0.0,-0.00015380538074479205
59,-0.0003018803773652961,1.0,1.2922827886470927,0.00013996512724804815,0.00013996512724804815,0.0,False,0.0,-0.0003018803773652961
60,2.9662115310561523e-05,1.0,1.2972822287424643,0.0002592733014866974,0.0002592733014866974,0.0,False,0.0,2.9662115310561523e-05
61,-0.00021921127765375952,1.0,1.3022816790026035,-6.351479136955214e-05,-6.351479136955207e-05,0.0,False,0.0,-0.00021921127765375952
62,0.0009514629291479677,1.0,1.3072811392373933,0.00020523382927872615,0.0002052338292787261,0.0,False,0.0,0.0009514629291479677
63,0.0009136651281215964,1.0,1.3122806092585217,-0.0009016512481345815,-0.0009016512481345813,0.0,False,0.0,0.0009136651281215964
64,-0.0002639444383895934,1.0,1.3172800888797935,-0.0007263963663741126,-0.0007263963663741126,0.0,False,0.0,-0.0002639444383895934
65,-0.00030793179052562906,1.0,1.3222795779173848,0.0003524686986930175,0.0003524686986930175,0.0,False,0.0,-0.00030793179052562906
66,-0.0013531510705940676,1.0,1.3272790761900444,0.0002516239146768275,0.0002516239146768275,0.0,False,0.0,-0.0013531510705940676
67,-0.0007925365032048334,1.0,1.332278583519253,0.0012079471700834669,0.0012079471700834669,0.0,False,0.0,-0.0007925365032048334
68,-6.557199694104996e-05,1.0,1.3372780997293452,0.0005667554544771587,0.0005667554544771587,0.0,False,0.0,-6.557199694104996e-05
69,7.391108279982603e-05,1.0,1.3422776246475994,-3.477814319881404e-05,-3.477814319881391e-05,0.0,False,0.0,7.391108279982603e-05
70,0.00035680655415318025,1.0,1.3472771581043035,-7.586683580876594e-05,-7.586683580876594e-05,0.0,False,0.0,0.00035680655415318025
71,7.545973373406761e-05,1.0,1.352276699932797,-0.0003193926998849467,-0.0003193926998849467,0.0,False,0.0,7.545973373406761e-05
72,0.0020320504901683166,1.0,1.3572762499694957,-2.6606168536960574e-05,-2.6606168536960574e-05,0.0,False,0.0,0.0020320504901683166
73,0.0005305817345672313,1.0,1.3622758080539001,-0.0018604312829067632,-0.0018604312829067632,0.0,False,0.0,0.0005305817345672313
74,-0.0001957833123649719,1.0,1.3672753740285912,-0.0002442891369816548,-0.0002442891369816551,0.0,False,0.0,-0.0001957833123649719
75,4.563481067685757e-05,1.0,1.3722749477392182,0.00024379045552384192,0.00024379045552384192,0.0,False,0.0,4.563481067685757e-05
76,-0.0005270135693558127,1.0,1.3772745290344721,-6.54780233065056e-05,-6.54780233065056e-05,0.0,False,0.0,-0.0005270135693558127
77,0.00012923765590609247,1.0,1.3822741177660582,0.0004903286610885707,0.0004903286610885707,0.0,False,0.0,0.00012923765590609247
78,-2.6586056812691144e-05,1.0,1.3872737137886586,-0.0001821402717563026,-0.0001821402717563026,0.0,False,0.0,-2.6586056812691144e-05
79,-0.0002172077028900178,1.0,1.3922733169598933,3.996769097640695e-05,3.9967690976406963e-05,0.0,False,0.0,-0.0002172077028900178
80,-0.0004193457668013075,1.0,1.397272927140274,0.00019664075984129344,0.00019664075984129344,0.0,False,0.0,-0.0004193457668013075
81,-0.000998920835315703,1.0,1.402272544193158,0.0003597331811104008,0.0003597331811104008,0.0,False,0.0,-0.000998920835315703
82,-0.0005072654025962994,1.0,1.4072721679847013,0.0008686856764742899,0.0008686856764742899,0.0,False,0.0,-0.0005072654025962994
83,-0.00047064870319856437,1.0,1.4122717983838053,0.0003468136701507111,0.0003468136701507112,0.0,False,0.0,-0.00047064870319856437
84,0.0011236996475116764,1.0,1.4172714352620666,0.0003721249586311233,0.0003721249586311233,0.0,False,0.0,0.0011236996475116764
85,-0.0008977325261911805,1.0,1.4222710784937245,-0.00109028152009457,-0.00109028152009457,0.0,False,0.0,-0.0008977325261911805
86,0.00031880092258043804,1.0,1.4272707279556096,0.0009607578817972873,0.0009607578817972868,0.0,False,0.0,0.00031880092258043804
87,-0.0006513479652945382,1.0,1.432270383527091,-0.00040102475191694466,-0.00040102475191694466,0.0,False,0.0,-0.0006513479652945382
88,-0.0003475363646547742,1.0,1.4372700450900235,0.0006374962387806277,0.0006374962387806277,0.0,False,0.0,-0.0003475363646547742
89,-0.0008312150745669037,1.0,1.4422697125286967,0.00024157169964704773,0.00024157169964704768,0.0,False,0.0,-0.0008312150745669037
90,-0.0014734758931778137,1.0,1.4472693857297838,0.0007230135048429785,0.0007230135048429785,0.0,False,0.0,-0.0014734758931778137
91,0.0005612916408604709,1.0,1.45226906458229,0.0012558520127755601,0.0012558520127755601,0.0,False,0.0,0.0005612916408604709
92,-0.00011113470391367527,1.0,1.4572687489775056,-0.0006932054167729709,-0.0006932054167729709,0.0,False,0.0,-0.00011113470391367527
93,5.5446368152355495e-05,1.0,1.4622684388089535,0.00016959892450383777,0.00016959892450383763,0.0,False,0.0,5.5446368152355495e-05
94,-0.0005573286214786037,1.0,1.467268133972344,-6.43468231698081e-05,-6.43468231698081e-05,0.0,False,0.0,-0.0005573286214786037
95,5.2037201050975954e-05,1.0,1.4722678343655262,0.000519395895938598,0.000519395895938598,0.0,False,0.0,5.2037201050975954e-05
96,0.000485022953083005,1.0,1.4772675398884436,-0.00011475365954433031,-0.00011475365954433041,0.0,False,0.0,0.000485022953083005
97,-0.0005380264479998963,1.0,1.482267250443087,-0.0004399766527102475,-0.0004399766527102475,0.0,False,0.0,-0.0005380264479998963
98,1.8044784796353605e-06,1.0,1.4872669659334523,0.0005531870865298652,0.0005531870865298652,0.0,False,0.0,1.8044784796353605e-06
99,-0.0003751660926730424,1.0,1.4922666862654952,-6.622329396125209e-05,-6.622329396125216e-05,0.0,False,0.0,-0.0003751660926730424
100,-0.0004552911422920704,1.0,1.4972664113470915,0.00034536934267675524,0.00034536934267675524,0.0,False,0.0,-0.0004552911422920704
101,-0.00045575767433542045,1.0,1.5022661410879947,0.00037384791978793973,0.00037384791978793973,0.0,False,0.0,-0.00045575767433542045
102,0.0011592162332363046,1.0,1.5072658753997954,0.0003646621233135384,0.0003646621233135384,0.0,False,0.0,0.0011592162332363046
103,0.0007633189499824594,1.0,1.5122656141958826,-0.0011211698554976508,-0.0011211698554976508,0.0,False,0.0,0.0007633189499824594
104,1.9548222151122594e-05,1.0,1.517265357391405,-0.000563147485995506,-0.000563147485995506,0.0,False,0.0,1.9548222151122594e-05
105,0.00010637851212499556,1.0,1.522265104903234,7.361390961886234e-05,7.361390961886228e-05,0.0,False,0.0,0.00010637851212499556
106,0.000191884839923956,1.0,1.527264856649927,-9.55224444968612e-05,-9.552244449686123e-05,0.0,False,0.0,0.000191884839923956
107,3.903054014507252e-05,1.0,1.532264612551691,-0.0001637686312750401,-0.0001637686312750401,0.0,False,0.0,3.903054014507252e-05
108,0.00019783641201531779,1.0,1.5372643725303485,-1.2881916142592e-05,-1.2881916142591984e-05,0.0,False,0.0,0.00019783641201531779
109,0.0003341540556453097,1.0,1.542264136509303,-0.00017732583423668368,-0.00017732583423668368,0.0,False,0.0,0.0003341540556453097
110,0.0008327484769589838,1.0,1.547263904413506,-0.0002836813617518468,-0.0002836813617518468,0.0,False,0.0,0.0008327484769589838
111,-0.0004930132276752983,1.0,1.5522636761694235,-0.000726030112124828,-0.000726030112124828,0.0,False,0.0,-0.0004930132276752983
112,-0.00034725096994043137,1.0,1.557263451705006,0.0005535019866963525,0.0005535019866963525,0.0,False,0.0,-0.00034725096994043137
113,0.0002242244820780612,1.0,1.5622632309496558,0.00026030930502416106,0.00026030930502416106,0.0,False,0.0,0.0002242244820780612
114,0.00047525242514281945,1.0,1.5672630138341972,-0.00024795663990466807,-0.00024795663990466807,0.0,False,0.0,0.00047525242514281945
115,0.0004631478987594005,1.0,1.572262800290847,-0.00041032529328202655,-0.00041032529328202655,0.0,False,0.0,0.0004631478987594005
116,0.00033435293887870563,1.0,1.5772625902531845,-0.0003690657758415102,-0.0003690657758415102,0.0,False,0.0,0.00033435293887870563
117,-0.0008482288282564523,1.0,1.5822623836561251,-0.0002520269559172811,-0.0002520269559172811,0.0,False,0.0,-0.0008482288282564523
118,1.0976182784268657e-05,1.0,1.5872621804358904,0.0008204928746613808,0.0008204928746613808,0.0,False,0.0,1.0976182784268657e-05
119,0.0007675879223936478,1.0,1.5922619805299825,-0.00011188554755230142,-0.00011188554755230149,0.0,False,0.0,0.0007675879223936478
120,0.0013338367505802116,1.0,1.5972617838771563,-0.0007048637466680437,-0.0007048637466680437,0.0,False,0.0,0.0013338367505802116
121,4.072660279991024e-05,1.0,1.602261590417395,-0.001135019259846557,-0.001135019259846557,0.0,False,0.0,4.072660279991024e-05
122,0.0009872322271391944,1.0,1.6072614000918828,0.00012259193549370796,0.0001225919354937081,0.0,False,0.0,0.0009872322271391944
123,-0.0004187346521596262,1.0,1.6122612128429819,-0.0009033664566320697,-0.0009033664566320697,0.0,False,0.0,-0.0004187346521596262
124,-0.00041212480717005105,1.0,1.6172610286142066,0.0005037037472435594,0.0005037037472435594,0.0,False,0.0,-0.00041212480717005105
125,9.225695434629626e-06,1.0,1.6222608473502003,0.00032890666433729184,0.00032890666433729184,0.0,False,0.0,9.225695434629626e-06
126,-0.00041534457413093274,1.0,1.6272606689967122,-5.7942616660265374e-05,-5.794261666026533e-05,0.0,False,0.0,-0.00041534457413093274
127,0.0003634262088841424,1.0,1.6322604935005736,0.0003832240916526137,0.0003832240916526137,0.0,False,0.0,0.0003634262088841424
128,0.00012808537179229574,1.0,1.637260320809677,-0.00038419346106912294,-0.00038419346106912284,0.0,False,0.0,0.00012808537179229574
129,0.0001658028573776113,1.0,1.642260150872953,-7.422739698281501e-05,-7.422739698281501e-05,0.0,False,0.0,0.0001658028573776113
130,0.0004891689881843536,1.0,1.6472599836403488,-0.00013716838417232694,-0.00013716838417232694,0.0,False,0.0,0.0004891689881843536
131,0.0001948304561923554,1.0,1.6522598190628084,-0.00043013912624429194,-0.00043013912624429194,0.0,False,0.0,0.0001948304561923554
132,-0.00034718062401095835,1.0,1.6572596570922504,-0.00012054374111484454,-0.00012054374111484454,0.0,False,0.0,-0.00034718062401095835
133,0.0006739592754394452,1.0,1.6622594976815497,0.00034278582883316434,0.00034278582883316434,0.0,False,0.0,0.0006739592754394452
134,-0.0006110245837733807,1.0,1.667259340784516,-0.0006617042082856046,-0.0006617042082856046,0.0,False,0.0,-0.0006110245837733807
135,-0.00016717935521690973,1.0,1.6722591863558753,0.0006430177301242437,0.0006430177301242437,0.0,False,0.0,-0.00016717935521690973
136,-0.00037110664488071936,1.0,1.6772590343512517,8.048205674675128e-05,8.048205674675128e-05,0.0,False,0.0,-0.00037110664488071936
137,0.0005043102276231456,1.0,1.6822588847271467,0.00032135659066423266,0.00032135659066423266,0.0,False,0.0,0.0005043102276231456
138,-0.0005192230725450858,1.0,1.6872587374409245,-0.0005084982067989803,-0.0005084982067989803,0.0,False,0.0,-0.0005192230725450858
139,8.236075918222235e-05,1.0,1.6922585924507898,0.0005382024540562565,0.0005382024540562567,0.0,False,0.0,8.236075918222235e-05
140,-0.0002835146206207479,1.0,1.6972584497157752,-0.00013807866715305486,-0.00013807866715305492,0.0,False,0.0,-0.0002835146206207479
141,0.0014642129102839104,1.0,1.7022583091957197,0.00027071674207295474,0.00027071674207295484,0.0,False,0.0,0.0014642129102839104
142,-0.0007510498151051584,1.0,1.707258170851255,-0.0013810976319356873,-0.0013810976319356873,0.0,False,0.0,-0.0007510498151051584
143,-0.0005467589592545662,1.0,1.7122580346437881,0.0008666713791308151,0.0008666713791308151,0.0,False,0.0,-0.0005467589592545662
144,-0.0001241292769319061,1.0,1.7172579005354849,0.00041289226470158193,0.00041289226470158193,0.0,False,0.0,-0.0001241292769319061
145,0.0005744911092141169,1.0,1.722257768489255,4.8587859666805665e-05,4.858785966680563e-05,0.0,False,0.0,0.0005744911092141169
146,-0.00011305770140242033,1.0,1.7272576384687368,-0.0005434273337088163,-0.0005434273337088163,0.0,False,0.0,-0.00011305770140242033
147,-0.000458631884340714,1.0,1.7322575104382807,0.00017295201839592073,0.00017295201839592073,0.0,False,0.0,-0.000458631884340714
148,0.0005053994490901277,1.0,1.7372573843629369,0.00040837440942516644,0.00040837440942516644,0.0,False,0.0,0.0005053994490901277
149,-0.00030015063558606257,1.0,1.7422572602084383,-0.0005200033192838032,-0.0005200033192838032,0.0,False,0.0,-0.00030015063558606257
150,-0.00013522731638864415,1.0,1.7472571379411879,0.0003367865186299929,0.000336786518629993,0.0,False,0.0,-0.00013522731638864415
151,0.00031568019050806385,1.0,1.7522570175282448,8.839105480722511e-05,8.839105480722511e-05,0.0,False,0.0,0.00031568019050806385
152,-0.0004483012328140392,1.0,1.7572568989373105,-0.00030665305323405605,-0.00030665305323405605,0.0,False,0.0,-0.0004483012328140392
153,0.002012647944463858,1.0,1.7622567821367159,0.0004503187570498838,0.0004503187570498838,0.0,False,0.0,0.002012647944463858
154,7.173358886459535e-05,1.0,1.7672566670954069,-0.001905432256844434,-0.0019054322568444345,0.0,False,0.0,7.173358886459535e-05
155,0.000548400146700577,1.0,1.7722565537829331,0.00017552285158023523,0.00017552285158023542,0.0,False,0.0,0.000548400146700577
156,-4.883804305248412e-05,1.0,1.7772564421694352,-0.0004959201043007794,-0.0004959201043007792,0.0,False,0.0,-4.883804305248412e-05
157,0.00033722033315293607,1.0,1.782256332225632,0.00011073901721235464,0.00011073901721235476,0.0,False,0.0,0.00033722033315293607
158,0.0008327803485688662,1.0,1.7872562239228091,-0.00031610327166699926,-0.00031610327166699926,0.0,False,0.0,0.0008327803485688662
