t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,-0.0016868082230728067,0.809197134679951,1.0015504076004063,0.00012020552784658485,0.00012020552784658485,0.0,False,0.0,-0.0016868082230728067
1,-0.0005994909114889942,0.8731452472597067,1.0046561125583617,0.0002829066837733771,0.0002829066837733771,0.0,False,0.0,-0.0005994909114889942
2,-0.0010170769629812726,0.9275430286390421,1.008399698528497,0.00011350402105769227,0.00011350402105769227,0.0,False,0.0,-0.0010170769629812726
3,0.0001444826832190375,0.9682298481931277,1.0126852714219683,0.00019534211858980333,0.00019534211858980333,0.0,False,0.0,0.0001444826832190375
4,-4.765964963172239e-06,0.9928537864989174,1.0173744493306995,1.0188470641410878e-05,1.0188470641410863e-05,0.0,False,0.0,-4.765964963172239e-06
5,0.0006111903194907447,1.0,1.0223069649056704,4.048827728466918e-05,4.048827728466918e-05,0.0,False,0.0,0.0006111903194907447
6,0.00023132993495355406,1.0,1.0273096964869988,-6.260829817414257e-05,-6.260829817414257e-05,0.0,False,0.0,0.00023132993495355406
7,-2.0089589451733026e-05,1.0,1.0323118380915914,-1.9676398291528644e-06,-1.9676398291528615e-06,0.0,False,0.0,-2.0089589451733026e-05
8,9.038387456808122e-05,1.0,1.0373134782591606,3.517553956536611e-05,3.517553956536611e-05,0.0,False,0.0,9.038387456808122e-05
9,-0.0002546406874278246,1.0,1.0423146927339053,1.5529323286162546e-05,1.5529323286162546e-05,0.0,False,0.0,-0.0002546406874278246
10,-7.983606669321889e-05,1.0,1.047315546307777,7.256240261592099e-05,7.256240261592099e-05,0.0,False,0.0,-7.983606669321889e-05
11,3.1664221449108075e-05,1.0,1.0523160943976633,4.402109507627926e-05,4.402109507627926e-05,0.0,False,0.0,3.1664221449108075e-05
12,-0.0006840836523081389,1.0,1.0573163843950013,2.7359235635992804e-05,2.7359235635992804e-05,0.0,False,0.0,-0.0006840836523081389
13,-0.0001282941066574386,1.0,1.0623164568207564,0.00014652574219405865,0.00014652574219405865,0.0,False,0.0,-0.0001282941066574386
14,0.001081809213349969,1.0,1.0673163463139053,5.681102689658034e-05,5.681102689658033e-05,0.0,False,0.0,0.001081809213349969
15,0.0017700718154397624,1.0,1.0723160824775015,-0.00013944844588417073,-0.00013944844588417073,0.0,False,0.0,0.0017700718154397624
16,0.0013292544816954804,1.0,1.0773156906028982,-0.00025725751004453167,-0.00025725751004453167,0.0,False,0.0,0.0013292544816954804
17,0.0014708971033489957,1.0,1.0823151922897247,-0.00019765297518483974,-0.00019765297518483974,0.0,False,0.0,0.0014708971033489957
18,0.002013061147954972,1.0,1.087314605976669,-0.00023710309919874377,-0.00023710309919874377,0.0,False,0.0,0.002013061147954972
19,0.002699804200195837,1.0,1.0923139473959325,-0.0003409614459069047,-0.0003409614459069047,0.0,False,0.0,0.002699804200195837
20,0.0013449104153437853,1.0,1.0973132299623685,-0.00047183841979080214,-0.00047183841979080214,0.0,False,0.0,0.0013449104153437853
21,0.00021225148518118865,1.0,1.102312465106713,-0.00026980363519387476,-0.00026980363519387476,0.0,False,0.0,0.00021225148518118865
22,-0.0007534957642910555,1.0,1.1073116625609678,-0.00010336071964943386,-0.00010336071964943386,0.0,False,0.0,-0.0007534957642910555
23,-0.0007872921294593647,1.0,1.11231083060282,4.8034855330171186e-05,4.8034855330171186e-05,0.0,False,0.0,-0.0007872921294593647
24,-6.410115532609037e-05,1.0,1.1173099762649978,5.538552609418759e-05,5.538552609418759e-05,0.0,False,0.0,-6.410115532609037e-05
25,-0.0009390791621000943,1.0,1.1223091055146015,-5.6994032508352134e-05,-5.699403250835212e-05,0.0,False,0.0,-0.0009390791621000943
26,-0.00035153930955261786,1.0,1.1273082234067258,9.323247401419307e-05,9.323247401419304e-05,0.0,False,0.0,-0.00035153930955261786
27,-0.0009409255943880488,1.0,1.132307334216069,-1.5821792833111306e-07,-1.5821792833112098e-07,0.0,False,0.0,-0.0009409255943880488
28,-0.0009610702588943311,1.0,1.1373064415496867,0.00010472053756516145,0.00010472053756516145,0.0,False,0.0,-0.0009610702588943311
29,-0.00017848425648697857,1.0,1.142305548443598,0.00011393749010807223,0.00011393749010807223,0.0,False,0.0,-0.00017848425648697857
30,-0.0009323960796345782,1.0,1.1473046574455579,-6.481951689642679e-06,-6.481951689642673e-06,0.0,False,0.0,-0.0009323960796345782
31,-0.0009443257356207247,1.0,1.1523037706859791,0.00012514776953217275,0.00012514776953217275,0.0,False,0.0,-0.0009443257356207247
32,0.000836292942104709,1.0,1.157302889938702,0.00013192858228333327,0.00013192858228333327,0.0,False,0.0,0.000836292942104709
33,-0.0005090011016941742,1.0,1.162302016673064,-0.00015428243879879837,-0.00015428243879879832,0.0,False,0.0,-0.0005090011016941742
34,0.00010816957323687725,1.0,1.1673011520985144,7.135715511712174e-05,7.135715511712177e-05,0.0,False,0.0,0.00010816957323687725
35,0.0008889011079874616,1.0,1.1723002972028411,-3.4074930167284335e-05,-3.407493016728432e-05,0.0,False,0.0,0.0008889011079874616
36,0.00037552070496795615,1.0,1.177299452784921,-0.00016105503661866379,-0.00016105503661866379,0.0,False,0.0,0.00037552070496795615
37,0.0005957577647613772,1.0,1.1822986194827765,-8.003851158879701e-05,-8.003851158879701e-05,0.0,False,0.0,0.0005957577647613772
38,-0.00030829105181396824,1.0,1.1872977977976114,-0.00012343335298230148,-0.00012343335298230148,0.0,False,0.0,-0.00030829105181396824
39,-4.173606994874272e-06,1.0,1.1922969881143939,2.2002595280352593e-05,2.2002595280352586e-05,0.0,False,0.0,-4.173606994874272e-06
