t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,0.0013810487939138658,0.809190248206639,1.0015504076004063,0.0005793037486582402,0.0005793037486582402,0.0,False,0.0,0.0013810487939138658
1,0.00041632000897439124,0.8731274015275237,1.0046560436936287,-0.0011048390351310927,-0.0011048390351310927,0.0,False,0.0,0.00041632000897439124
2,0.0005120533154312547,0.9275267229841164,1.0083994513493673,-0.00033305600717951304,-0.00033305600717951304,0.0,False,0.0,0.0005120533154312547
3,-0.0006838081037669358,0.9682170190201937,1.0126848613061568,-0.0004096426523450038,-0.0004096426523450038,0.0,False,0.0,-0.0006838081037669358
4,-0.0005000402730207344,0.9928457628059361,1.017373911662968,0.0005470464830135487,0.0005470464830135487,0.0,False,0.0,-0.0005000402730207344
5,0.00044790405846400295,1.0,1.0223063475232244,0.00040003221841658753,0.00040003221841658753,0.0,False,0.0,0.00044790405846400295
6,-0.00044679228502468295,1.0,1.027309079086886,-0.0003583232467712024,-0.0003583232467712024,0.0,False,0.0,-0.00044679228502468295
7,-0.0005882921679661589,1.0,1.0323112206772995,0.0003574338280197464,0.0003574338280197463,0.0,False,0.0,-0.0005882921679661589
8,0.0009210411241623214,1.0,1.0373128608336875,0.00047063373437292714,0.00047063373437292714,0.0,False,0.0,0.0009210411241623214
9,0.0007245392117028891,1.0,1.0423140752998257,-0.0007368328993298572,-0.000736832899329857,0.0,False,0.0,0.0007245392117028891
10,-0.00012147895023076092,1.0,1.0473149288673,-0.0005796313693623113,-0.0005796313693623113,0.0,False,0.0,-0.00012147895023076092
11,0.000788941132356631,1.0,1.0523154769526815,9.718316018460874e-05,9.718316018460864e-05,0.0,False,0.0,0.000788941132356631
12,-0.0007479056684085555,1.0,1.0573157669471338,-0.0006311529058853049,-0.0006311529058853049,0.0,False,0.0,-0.0007479056684085555
13,-0.0004948764364513768,1.0,1.0623158393713854,0.0005983245347268444,0.0005983245347268444,0.0,False,0.0,-0.0004948764364513768
14,-0.0007968620557217375,1.0,1.0673157288642083,0.00039590114916110143,0.00039590114916110143,0.0,False,0.0,-0.0007968620557217375
15,-0.0011128823327458484,1.0,1.0723154650284792,0.00063748964457739,0.00063748964457739,0.0,False,0.0,-0.0011128823327458484
16,0.00040069956968013685,1.0,1.0773150731553978,0.0008903058661966787,0.0008903058661966787,0.0,False,0.0,0.00040069956968013685
17,0.0014595234721578112,1.0,1.0823145748444605,-0.0003205596557441095,-0.0003205596557441098,0.0,False,0.0,0.0014595234721578112
18,0.0006289611312893035,1.0,1.087313988534241,-0.0011676187777262491,-0.0011676187777262491,0.0,False,0.0,0.0006289611312893035
19,-0.0008223707204035493,1.0,1.0923133299568424,-0.0005031689050314428,-0.0005031689050314428,0.0,False,0.0,-0.0008223707204035493
20,0.00032892607313607305,1.0,1.0973126125270318,0.0006578965763228395,0.0006578965763228395,0.0,False,0.0,0.00032892607313607305
21,-0.0006872864281941401,1.0,1.1023118476754716,-0.00026314085850885844,-0.00026314085850885844,0.0,False,0.0,-0.0006872864281941401
22,-0.0010081015727780717,1.0,1.1073110451340995,0.0005498291425553121,0.0005498291425553121,0.0,False,0.0,-0.0010081015727780717
23,0.0005435640366235112,1.0,1.1123102131805482,0.0008064812582224574,0.0008064812582224574,0.0,False,0.0,0.0005435640366235112
24,0.0016109126889449496,1.0,1.117309358847499,-0.00043485122929880893,-0.0004348512292988088,0.0,False,0.0,0.0016109126889449496
25,0.0008595796759496365,1.0,1.122308488102011,-0.0012887301511559598,-0.0012887301511559598,0.0,False,0.0,0.0008595796759496365
26,-0.0005410768111846408,1.0,1.1273076059991443,-0.0006876637407597092,-0.0006876637407597092,0.0,False,0.0,-0.0005410768111846408
27,-0.0008027710873363938,1.0,1.1323067168135672,0.00043286144894771265,0.00043286144894771265,0.0,False,0.0,-0.0008027710873363938
28,0.00035388211855089704,1.0,1.1373058241523104,0.0006422168698691151,0.0006422168698691151,0.0,False,0.0,0.00035388211855089704
29,0.0006028561646176792,1.0,1.142304931051371,-0.00028310569484071764,-0.00028310569484071754,0.0,False,0.0,0.0006028561646176792
