t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,-0.0007790480870025265,0.809197134679951,1.0015504076004063,0.00012020552784658485,0.00012020552784658485,0.0,False,0.0,-0.0007790480870025265
1,-0.0007514250932308575,0.8731473116878083,1.0046561125583617,0.00013221850118571058,0.00013221850118571058,0.0,False,0.0,-0.0007514250932308575
2,-0.0004753088914954849,0.9275444293631159,1.0083997191562442,0.00013509405468256045,0.00013509405468256045,0.0,False,0.0,-0.0004753088914954849
3,-0.0003264327865957153,0.9682315075245086,1.0126853060465484,9.693875408942719e-05,9.693875408942719e-05,0.0,False,0.0,-0.0003264327865957153
4,0.0008874878038422385,0.9928543666927971,1.0173745004525743,7.863510680143252e-05,7.863510680143252e-05,0.0,False,0.0,0.0008874878038422385
5,0.0010354693450371581,1.0,1.0223070217940464,-0.00011871812671591203,-0.000118718126715912,0.0,False,0.0,0.0010354693450371581
6,0.0006286820156147062,1.0,1.02730975337815,-0.00014487441705006334,-0.00014487441705006334,0.0,False,0.0,0.0006286820156147062
7,0.00047712201400162567,1.0,1.0323118949850365,-8.681452456913841e-05,-8.681452456913841e-05,0.0,False,0.0,0.00047712201400162567
8,8.6361604134575e-05,1.0,1.0373135351544858,-7.03831084340488e-05,-7.03831084340488e-05,0.0,False,0.0,8.6361604134575e-05
9,0.0006671679534606156,1.0,1.042314749630755,-1.1197460545813137e-05,-1.1197460545813137e-05,0.0,False,0.0,0.0006671679534606156
10,0.00011406503338233441,1.0,1.0473156032058466,-0.00011081949303448392,-0.00011081949303448392,0.0,False,0.0,0.00011406503338233441
11,-0.00027376533978531195,1.0,1.0523161512966903,-2.2191249740139167e-05,-2.2191249740139174e-05,0.0,False,0.0,-0.00027376533978531195
12,-0.0006066041631095212,1.0,1.057316441294762,3.7729324351397104e-05,3.7729324351397104e-05,0.0,False,0.0,-0.0006066041631095212
13,-0.0005313637865507351,1.0,1.0623165137210586,9.339124018206308e-05,9.339124018206308e-05,0.0,False,0.0,-0.0005313637865507351
14,-0.0008377080346398891,1.0,1.0673164032145848,8.497034636445454e-05,8.497034636445454e-05,0.0,False,0.0,-0.0008377080346398891
15,-0.0010561840465293894,1.0,1.0723161393784184,0.00014158857167211416,0.00014158857167211416,0.0,False,0.0,-0.0010561840465293894
16,-0.00011868125530961122,1.0,1.0773157475039332,0.0001843946045036352,0.0001843946045036352,0.0,False,0.0,-0.00011868125530961122
17,-0.000539475135545944,1.0,1.0823152491907762,3.8020125555108904e-05,3.802012555510894e-05,0.0,False,0.0,-0.000539475135545944
18,-0.0012988152790088952,1.0,1.0873146628776507,0.00011468373897475494,0.00011468373897475491,0.0,False,0.0,-0.0012988152790088952
19,-0.0015594954360864883,1.0,1.0923140042967723,0.00024360419086364628,0.00024360419086364633,0.0,False,0.0,-0.0015594954360864883
20,-0.0009220167573386733,1.0,1.097313286863005,0.000295309208867838,0.000295309208867838,0.0,False,0.0,-0.0009220167573386733
21,-0.0012714516643026956,1.0,1.1023125220070953,0.0002035186216141,0.0002035186216141,0.0,False,0.0,-0.0012714516643026956
22,-0.0002071049718675233,1.0,1.1073117194610524,0.00027456985581600135,0.00027456985581600135,0.0,False,0.0,-0.0002071049718675233
23,-0.0005906993676903236,1.0,1.112310887502572,0.00010850621207300554,0.00010850621207300551,0.0,False,0.0,-0.0005906993676903236
24,-0.00010116779397766427,1.0,1.1173100331643881,0.00018064001165287664,0.00018064001165287664,0.0,False,0.0,-0.00010116779397766427
25,0.000922398103752478,1.0,1.1223091624136068,0.00010298319771854165,0.00010298319771854165,0.0,False,0.0,0.000922398103752478
26,0.0005763186770010249,1.0,1.127308280305327,-6.297987392260936e-05,-6.297987392260939e-05,0.0,False,0.0,0.0005763186770010249
27,0.000489366456583552,1.0,1.132307391114251,-8.613274733012077e-06,-8.613274733012077e-06,0.0,False,0.0,0.000489366456583552
28,-0.00032447689007724593,1.0,1.137306498447438,-2.018869474230539e-06,-2.018869474230539e-06,0.0,False,0.0,-0.00032447689007724593
29,0.0006221117476641607,1.0,1.1423056053409104,0.00012766374818312155,0.00012766374818312155,0.0,False,0.0,0.0006221117476641607
30,9.958642258694164e-05,1.0,1.1473047143424249,-3.110825686114427e-05,-3.110825686114427e-05,0.0,False,0.0,9.958642258694164e-05
31,0.00027995844186775367,1.0,1.1523038275823971,5.508936145148093e-05,5.508936145148093e-05,0.0,False,0.0,0.00027995844186775367
32,0.000730489351466003,1.0,1.1573029468346685,2.1016590074533398e-05,2.101659007453339e-05,0.0,False,0.0,0.000730489351466003
33,-1.5121444622650464e-06,1.0,1.162302073568579,-5.5488893221768646e-05,-5.548889322176863e-05,0.0,False,0.0,-1.5121444622650464e-06
34,0.001050334578350412,1.0,1.1673012089935784,6.142164704525331e-05,6.142164704525328e-05,0.0,False,0.0,0.001050334578350412
35,-9.167967652487939e-06,1.0,1.172300354097456,-0.00011756179647259805,-0.00011756179647259807,0.0,False,0.0,-9.167967652487939e-06
36,-0.00017575942762565935,1.0,1.1772995096790895,5.4123360717255284e-05,5.412336071725532e-05,0.0,False,0.0,-0.00017575942762565935
37,-0.00015602210943933004,1.0,1.1822986763765018,7.551220747330922e-05,7.551220747330922e-05,0.0,False,0.0,-0.00015602210943933004
38,0.0009191265709956291,1.0,1.1872978546908979,7.299385817079613e-05,7.299385817079613e-05,0.0,False,0.0,0.0009191265709956291
39,0.0015365753218535806,1.0,1.192297045007246,-0.00010380217777789579,-0.00010380217777789579,0.0,False,0.0,0.0015365753218535806
40,0.0007189464772276436,1.0,1.197296247611909,-0.00020903904404766228,-0.00020903904404766228,0.0,False,0.0,0.0007189464772276436
41,0.0010740485032141153,1.0,1.202295462707735,-8.497371655314485e-05,-8.497371655314485e-05,0.0,False,0.0,0.0010740485032141153
42,0.001111931565421057,1.0,1.2072946904269788,-0.00015601589070693122,-0.00015601589070693122,0.0,False,0.0,0.001111931565421057
43,0.0007330793102246323,1.0,1.212293930842356,-0.00017091435190950583,-0.00017091435190950583,0.0,False,0.0,0.0007330793102246323
44,-7.748933507081032e-05,1.0,1.2172931839765022,-0.00011891689482786827,-0.00011891689482786827,0.0,False,0.0,-7.748933507081032e-05
45,7.62763534903003e-05,1.0,1.2222924498100582,6.0335936577503224e-06,6.033593657750297e-06,0.0,False,0.0,7.62763534903003e-05
46,0.0003023128162107221,1.0,1.2272917282885834,-2.3580029164458593e-05,-2.3580029164458593e-05,0.0,False,0.0,0.0003023128162107221
47,0.0011877858757190893,1.0,1.2322910193284606,-6.094225137958495e-05,-6.0942251379584934e-05,0.0,False,0.0,0.0011877858757190893
48,0.0016021690363582277,1.0,1.237290322821936,-0.0002095976886437586,-0.0002095976886437586,0.0,False,0.0,0.0016021690363582277
49,0.0005899457065983998,1.0,1.2422896386414222,-0.00028495031370999625,-0.00028495031370999625,0.0,False,0.0,0.0005899457065983998
50,-9.217612728597853e-05,1.0,1.2472889666431606,-0.00013045663236961228,-0.00013045663236961228,0.0,False,0.0,-9.217612728597853e-05
51,0.0012205075179909622,1.0,1.2522883066703447,-2.919720498934844e-05,-2.9197204989348448e-05,0.0,False,0.0,0.0012205075179909622
52,0.0009923682580995716,1.0,1.2572876585557762,-0.0002502736598357671,-0.0002502736598357671,0.0,False,0.0,0.0009923682580995716
53,0.0009465685216202702,1.0,1.2622870221241187,-0.00021673151600204422,-0.00021673151600204422,0.0,False,0.0,0.0009465685216202702
54,0.0012396353405882852,1.0,1.2672863971938124,-0.00022042127788682425,-0.00022042127788682425,0.0,False,0.0,0.0012396353405882852
55,0.0010532667102677148,1.0,1.272285783578695,-0.00027881085347059324,-0.00027881085347059324,0.0,False,0.0,0.0010532667102677148
56,0.00016814028182125974,1.0,1.2772851810893697,-0.0002585116133294533,-0.0002585116133294533,0.0,False,0.0,0.00016814028182125974
57,-0.001059841622452591,1.0,1.2822845895343615,-0.00012323150509194238,-0.00012323150509194238,0.0,False,0.0,-0.001059841622452591
58,-0.001010092114086721,1.0,1.2872840087210873,7.362132962862551e-05,7.362132962862551e-05,0.0,False,0.0,-0.001010092114086721
59,-0.0008658665540757194,1.0,1.29228343845667,6.85934360387739e-05,6.85934360387739e-05,0.0,False,0.0,-0.0008658665540757194
60,-0.0018005722073455095,1.0,1.2972828785486197,5.5051411268010084e-05,5.5051411268010084e-05,0.0,False,0.0,-0.0018005722073455095
61,-0.0010750198983884786,1.0,1.3022823288053986,0.00021973656861161843,0.00021973656861161848,0.0,False,0.0,-0.0010750198983884786
62,-0.0019147343284188218,1.0,1.307281789036888,0.00011169237347858766,0.00011169237347858766,0.0,False,0.0,-0.0019147343284188218
63,-0.00133084698071068,1.0,1.3122812590547726,0.00026618848170125163,0.00026618848170125163,0.0,False,0.0,-0.00133084698071068
64,-0.0007225520721720592,1.0,1.3172807386728562,0.00018337223868570624,0.00018337223868570624,0.0,False,0.0,-0.0007225520721720592
65,0.0005615178841934948,1.0,1.3222802277073131,9.920707776165084e-05,9.920707776165084e-05,0.0,False,0.0,0.0005615178841934948
66,0.00034823313273743355,1.0,1.3272797259768903,-0.00010307324482207881,-0.00010307324482207884,0.0,False,0.0,0.00034823313273743355
