t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,-4.131424407794521e-05,0.809190248206639,1.0015504076004063,0.0005793037486582402,0.0005793037486582402,0.0,False,0.0,-4.131424407794521e-05
1,-0.0007107318407760666,0.8731420850181899,1.0046560436936287,3.305139526235617e-05,3.305139526235625e-05,0.0,False,0.0,-0.0007107318407760666
2,-0.00040384769116263454,0.9275358388004622,1.008399598066675,0.0005685854726208533,0.0005685854726208533,0.0,False,0.0,-0.00040384769116263454
3,-0.0003646257138930567,0.9682239593369784,1.012685099113636,0.0003230781529301077,0.0003230781529301077,0.0,False,0.0,-0.0003646257138930567
4,0.0017747593821028367,0.9928499877775558,1.0173742184732808,0.0002917005711144454,0.0002917005711144454,0.0,False,0.0,0.0017747593821028367
5,0.0008498253143956674,1.0,1.0223066963075647,-0.0014198075056822694,-0.0014198075056822694,0.0,False,0.0,0.0008498253143956674
6,-0.00041449074682469437,1.0,1.0273094278803834,-0.000679860251516534,-0.000679860251516534,0.0,False,0.0,-0.00041449074682469437
7,-0.0008068606256289105,1.0,1.0323115694780414,0.0003315925974597555,0.0003315925974597558,0.0,False,0.0,-0.0008068606256289105
8,0.0003234273259063363,1.0,1.037313209640031,0.0006454885005031285,0.0006454885005031285,0.0,False,0.0,0.0003234273259063363
9,0.0019130668296316058,1.0,1.042314424110362,-0.00025874186072506907,-0.00025874186072506907,0.0,False,0.0,0.0019130668296316058
10,0.0009651945941954729,1.0,1.0473152776808214,-0.0015304534637052847,-0.0015304534637052842,0.0,False,0.0,0.0009651945941954729
11,0.0008957240197058689,1.0,1.0523158257681549,-0.0007721556753563784,-0.0007721556753563784,0.0,False,0.0,0.0008957240197058689
12,0.0006594241259455879,1.0,1.0573161157636772,-0.0007165792157646951,-0.0007165792157646951,0.0,False,0.0,0.0006594241259455879
13,-0.00015064925619073823,1.0,1.062316188188247,-0.0005275393007564703,-0.0005275393007564703,0.0,False,0.0,-0.00015064925619073823
14,0.00026341339581098717,1.0,1.0673160776807493,0.00012051940495259059,0.00012051940495259059,0.0,False,0.0,0.00026341339581098717
15,0.0005759684581483606,1.0,1.0723158138441586,-0.00021073071664878975,-0.00021073071664878975,0.0,False,0.0,0.0005759684581483606
16,0.0009750928296383566,1.0,1.0773154219697583,-0.0004607747665186885,-0.0004607747665186885,0.0,False,0.0,0.0009750928296383566
17,6.173806465468057e-05,1.0,1.0823149236571186,-0.0007800742637106853,-0.0007800742637106853,0.0,False,0.0,6.173806465468057e-05
18,7.459047312688168e-05,1.0,1.0873143373448753,-4.939045172374446e-05,-4.939045172374457e-05,0.0,False,0.0,7.459047312688168e-05
19,0.00016505069303377425,1.0,1.0923136787651868,-5.9672378501505346e-05,-5.9672378501505346e-05,0.0,False,0.0,0.00016505069303377425
20,0.0005659000951819635,1.0,1.0973129613328665,-0.0001320405544270194,-0.0001320405544270194,0.0,False,0.0,0.0005659000951819635
21,0.0003982071438006559,1.0,1.1023121964786178,-0.0004527200761455708,-0.0004527200761455707,0.0,False,0.0,0.0003982071438006559
22,-0.00011714369226841153,1.0,1.107311393934413,-0.0003185657150405247,-0.0003185657150405247,0.0,False,0.0,-0.00011714369226841153
23,0.00013378330256173508,1.0,1.1123105619779152,9.371495381472923e-05,9.37149538147292e-05,0.0,False,0.0,0.00013378330256173508
24,0.0010412851117793482,1.0,1.1173097076418315,-0.00010702664204938808,-0.0001070266420493881,0.0,False,0.0,0.0010412851117793482
25,-6.702717334394604e-05,1.0,1.1223088368932426,-0.0008330280894234786,-0.0008330280894234786,0.0,False,0.0,-6.702717334394604e-05
26,-0.00039185054818829647,1.0,1.1273079547872282,5.3621738675156836e-05,5.362173867515679e-05,0.0,False,0.0,-0.00039185054818829647
27,0.00039085535174662647,1.0,1.132307065598473,0.0003134804385506372,0.0003134804385506372,0.0,False,0.0,0.00039085535174662647
28,-0.0003142624935309405,1.0,1.1373061729340208,-0.0003126842813973012,-0.0003126842813973012,0.0,False,0.0,-0.0003142624935309405
29,0.00018660870143929543,1.0,1.1423052798298807,0.00025140999482475243,0.0002514099948247523,0.0,False,0.0,0.00018660870143929543
30,0.0005119319617794656,1.0,1.1473043888337997,-0.00014928696115143635,-0.0001492869611514363,0.0,False,0.0,0.0005119319617794656
31,0.0012804652528332053,1.0,1.1523035020761825,-0.0004095455694235725,-0.0004095455694235725,0.0,False,0.0,0.0012804652528332053
32,-0.00014674622512491722,1.0,1.1573026213308646,-0.0010243722022665643,-0.0010243722022665643,0.0,False,0.0,-0.00014674622512491722
33,-0.0016139113514464431,1.0,1.1623017480671771,0.00011739698009993379,0.00011739698009993376,0.0,False,0.0,-0.0016139113514464431
34,-0.0013819514648163098,1.0,1.1673008834945655,0.0012911290811571546,0.0012911290811571546,0.0,False,0.0,-0.0013819514648163098
35,0.0010424793657475228,1.0,1.1723000286008147,0.0011055611718530478,0.0011055611718530478,0.0,False,0.0,0.0010424793657475228
36,-0.0004849577441714404,1.0,1.1772991841847975,-0.0008339834925980183,-0.0008339834925980183,0.0,False,0.0,-0.0004849577441714404
37,-0.0007739777559380601,1.0,1.1822983508845353,0.00038796619533715233,0.00038796619533715244,0.0,False,0.0,-0.0007739777559380601
38,0.0002509547460395969,1.0,1.1872975292012287,0.0006191822047504482,0.0006191822047504482,0.0,False,0.0,0.0002509547460395969
39,-0.0016846677040775755,1.0,1.1922967195198453,-0.00020076379683167753,-0.00020076379683167753,0.0,False,0.0,-0.0016846677040775755
40,0.00011430756207541525,1.0,1.1972959221267452,0.0013477341632620605,0.0013477341632620605,0.0,False,0.0,0.00011430756207541525
41,-0.0003318833572473509,1.0,1.2022951372247759,-9.144604966033221e-05,-9.144604966033202e-05,0.0,False,0.0,-0.0003318833572473509
42,-0.00011253000773443834,1.0,1.2072943649461914,0.0002655066857978807,0.0002655066857978807,0.0,False,0.0,-0.00011253000773443834
43,-0.0008086518526807608,1.0,1.2122936053637072,9.002400618755068e-05,9.002400618755068e-05,0.0,False,0.0,-0.0008086518526807608
44,-0.0003951436624442801,1.0,1.2172928584999576,0.0006469214821446087,0.0006469214821446087,0.0,False,0.0,-0.0003951436624442801
45,-0.0007640884161553593,1.0,1.2222921243355838,0.00031611492995542407,0.00031611492995542407,0.0,False,0.0,-0.0007640884161553593
46,-0.0004463129918498792,1.0,1.227291402816145,0.0006112707329242875,0.0006112707329242875,0.0,False,0.0,-0.0004463129918498792
47,8.552440057756116e-05,1.0,1.2322906938580243,0.0003570503934799034,0.0003570503934799034,0.0,False,0.0,8.552440057756116e-05
48,-0.0006805302252716445,1.0,1.2372899973534683,-6.841952046204893e-05,-6.8419520462049e-05,0.0,False,0.0,-0.0006805302252716445
49,-0.00028878503483641355,1.0,1.24228931317489,0.0005444241802173156,0.0005444241802173156,0.0,False,0.0,-0.00028878503483641355
50,0.0005690214178833385,1.0,1.2472886411785309,0.00023102802786913084,0.0002310280278691309,0.0,False,0.0,0.0005690214178833385
51,6.475784134743416e-05,1.0,1.2522879812075853,-0.00045521713430667077,-0.00045521713430667077,0.0,False,0.0,6.475784134743416e-05
52,-5.519580172880456e-05,1.0,1.2572873330948557,-5.180627307794733e-05,-5.1806273077947284e-05,0.0,False,0.0,-5.519580172880456e-05
53,7.402884033423731e-05,1.0,1.2622866966650064,4.4156641383043656e-05,4.4156641383043656e-05,0.0,False,0.0,7.402884033423731e-05
54,0.0005329141958651029,1.0,1.2672860717364778,-5.922307226738985e-05,-5.922307226738985e-05,0.0,False,0.0,0.0005329141958651029
55,-0.0005655058584139293,1.0,1.2722854581231087,-0.00042633135669208235,-0.00042633135669208235,0.0,False,0.0,-0.0005655058584139293
56,-0.0008891719675899738,1.0,1.277284855635503,0.0004524046867311435,0.0004524046867311434,0.0,False,0.0,-0.0008891719675899738
57,-6.506726108321839e-05,1.0,1.2822842640821859,0.000711337574071979,0.000711337574071979,0.0,False,0.0,-6.506726108321839e-05
58,0.00014834163525647876,1.0,1.2872836832705759,5.205380886657472e-05,5.2053808866574826e-05,0.0,False,0.0,0.00014834163525647876
59,0.00020403485565473567,1.0,1.2922831130077963,-0.00011867330820518302,-0.00011867330820518302,0.0,False,0.0,0.00020403485565473567
60,-0.00041954940650696445,1.0,1.2972825531013579,-0.00016322788452378855,-0.00016322788452378855,0.0,False,0.0,-0.00041954940650696445
61,-0.000567169270439322,1.0,1.3022820033597233,0.00033563952520557157,0.0003356395252055717,0.0,False,0.0,-0.000567169270439322
62,-6.35857219499251e-06,1.0,1.3072814635927748,0.0004537354163514577,0.0004537354163514577,0.0,False,0.0,-6.35857219499251e-06
63,-3.8302523916597816e-05,1.0,1.3122809336121979,5.086857755994008e-06,5.0868577559940005e-06,0.0,False,0.0,-3.8302523916597816e-05
64,-0.0002880492088331124,1.0,1.3172804132317975,3.064201913327826e-05,3.064201913327826e-05,0.0,False,0.0,-0.0002880492088331124
65,0.0011680403725280496,1.0,1.3222799022677474,0.00023043936706648992,0.00023043936706648992,0.0,False,0.0,0.0011680403725280496
