t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,6.594361987563502e-05,0.8091884016759401,1.0015504076004063,0.0007024057952481162,0.0007024057952481162,0.0,False,0.0,6.594361987563502e-05
1,9.665346510810123e-05,0.8731392012937257,1.0046560252283216,-0.00011465438928696199,-0.00011465438928696199,0.0,False,0.0,9.665346510810123e-05
2,-6.38909902345056e-06,0.927538898970104,1.0083995507872188,-5.293132347242373e-05,-5.293132347242373e-05,0.0,False,0.0,-6.38909902345056e-06
3,0.0023662064662381414,0.9682280185359659,1.0126850824146765,4.587247190767239e-05,4.587247190767239e-05,0.0,False,0.0,0.0023662064662381414
4,-0.000671215479250801,0.992845408034677,1.017374242131646,-0.002267590879140686,-0.002267590879140686,0.0,False,0.0,-0.000671215479250801
5,-0.0006100425893312029,1.0,1.0223066745059584,0.0008451095525030726,0.0008451095525030728,0.0,False,0.0,-0.0006100425893312029
6,-0.0006972181580808337,1.0,1.027309406092887,0.00045484198978492936,0.00045484198978492936,0.0,False,0.0,-0.0006972181580808337
7,-9.799278570895456e-05,1.0,1.032311547702923,0.0005772451677289831,0.0005772451677289831,0.0,False,0.0,-9.799278570895456e-05
8,0.0002876876945494264,1.0,1.0373131878758022,2.0396396182346423e-05,2.0396396182346298e-05,0.0,False,0.0,0.0002876876945494264
9,-4.8963948190154924e-05,1.0,1.0423144023557416,-0.00027690698569820984,-0.00027690698569820984,0.0,False,0.0,-4.8963948190154924e-05
10,-0.0006780405593110821,1.0,1.0473152559347054,8.154238066271839e-05,8.154238066271836e-05,0.0,False,0.0,-0.0006780405593110821
11,0.0006338191088637694,1.0,1.0523158040295897,0.0006537966937307758,0.0006537966937307758,0.0,False,0.0,0.0006338191088637694
12,0.0003059604830328518,1.0,1.0573160940318387,-0.0006602943497677875,-0.0006602943497677875,0.0,False,0.0,0.0003059604830328518
13,0.0007557982060454217,1.0,1.0623161664624212,-0.00021653927797400362,-0.00021653927797400367,0.0,False,0.0,0.0007557982060454217
14,-0.0006584813441891336,1.0,1.0673160559603168,-0.0007075229285475491,-0.0007075229285475491,0.0,False,0.0,-0.0006584813441891336
15,-0.0008238446409515601,1.0,1.07231579212858,0.0006805188516392069,0.0006805188516392071,0.0,False,0.0,-0.0008238446409515601
16,0.0005098775330135571,1.0,1.0773154002585634,0.0007041317706800706,0.0007041317706800706,0.0,False,0.0,0.0005098775330135571
17,-0.0003460421271519573,1.0,1.0823149019498968,-0.0005682301016300061,-0.0005682301016300064,0.0,False,0.0,-0.0003460421271519573
18,-0.00016844970083290382,1.0,1.0873143156412663,0.0003965647529556789,0.0003965647529556789,0.0,False,0.0,-0.00016844970083290382
19,-0.00020620723069015995,1.0,1.0923136570648733,0.0001388918465639332,0.0001388918465639332,0.0,False,0.0,-0.00020620723069015995
20,-0.00037049707704028535,1.0,1.0973129396355692,0.00020525022672540324,0.00020525022672540324,0.0,False,0.0,-0.00037049707704028535
21,-5.60988862700939e-05,1.0,1.1023121747840892,0.0003703908356366621,0.0003703908356366621,0.0,False,0.0,-5.60988862700939e-05
22,-0.00017602357504565926,1.0,1.1073113722424333,6.423466287957565e-05,6.423466287957565e-05,0.0,False,0.0,-0.00017602357504565926
23,0.0007414261677723198,1.0,1.1123105402882882,0.00022109433819780173,0.00022109433819780173,0.0,False,0.0,0.0007414261677723198
24,-0.0011358250910453564,1.0,1.1173096859543816,-0.0006744216962364228,-0.0006744216962364228,0.0,False,0.0,-0.0011358250910453564
25,0.0001599056340579768,1.0,1.122308815207813,0.0012195346855662645,0.0012195346855662645,0.0,False,0.0,0.0001599056340579768
26,-0.001134360492271165,1.0,1.1273079331036762,-0.00020580301428982197,-0.0002058030142898219,0.0,False,0.0,-0.001134360492271165
