t,attitude,stability,speed,u_cmd,u_eff,turb,crashed,a_ref,attitude_err
0,-0.0024734666629767275,0.8114575356107624,1.0029654048974332,0.0004865627227990385,0.0004865627227990385,0.0,False,0.0,-0.0024734666629767275
1,-0.0020336127639358453,0.8752725192265443,1.006079980253541,0.0004223198690131497,0.0004223198690131497,0.0,False,0.0,-0.0020336127639358453
2,-0.0008387787941169951,0.9295099124803572,1.0098327054458065,0.00037678459286278964,0.00037678459286278964,0.0,False,0.0,-0.0008387787941169951
3,1.0296311703672882e-05,0.9704692671349042,1.01412780457061,0.00020141740490646427,0.00020141740490646427,0.0,False,0.0,1.0296311703672882e-05
4,0.0006322097933983917,0.9942706045597275,1.018832497241959,7.602772910031645e-05,7.602772910031643e-05,0.0,False,0.0,0.0006322097933983917
5,0.0004868322144758805,1.0,1.0237752032875564,-2.2218421343119597e-05,-2.2218421343119597e-05,0.0,False,0.0,0.0004868322144758805
6,0.00010100488403237382,1.0,1.0287752032875561,-6.763602857983273e-07,-6.763602857983249e-07,0.0,False,0.0,0.00010100488403237382
7,-0.00011882980744096969,1.0,1.033775203287556,5.76303889495299e-05,5.76303889495299e-05,0.0,False,0.0,-0.00011882980744096969
8,0.00023543854430787314,1.0,1.038775203287556,9.079793491112014e-05,9.079793491112014e-05,0.0,False,0.0,0.00023543854430787314
9,0.0010030017435243624,1.0,1.043775203287556,3.185867844638187e-05,3.185867844638187e-05,0.0,False,0.0,0.0010030017435243624
10,0.000917058042118141,1.0,1.048775203287556,-9.578558795614104e-05,-9.578558795614101e-05,0.0,False,0.0,0.000917058042118141
11,0.001678074115553765,1.0,1.0537752032875558,-8.694357176265294e-05,-8.694357176265294e-05,0.0,False,0.0,0.001678074115553765
12,0.002162491772760392,1.0,1.0587752032875557,-0.00022295848258258532,-0.00022295848258258532,0.0,False,0.0,0.002162491772760392
13,0.0007380794964988758,1.0,1.0637752032875556,-0.00031558645839380926,-0.00031558645839380926,0.0,False,0.0,0.0007380794964988758
14,-0.0003599137101912874,1.0,1.0687752032875555,-9.785243231876173e-05,-9.785243231876173e-05,0.0,False,0.0,-0.0003599137101912874
15,-3.5309699962331745e-05,1.0,1.0737752032875554,6.84871713692475e-05,6.848717136924747e-05,0.0,False,0.0,-3.5309699962331745e-05
16,0.00036792080481897355,1.0,1.0787752032875553,1.1614083533012746e-05,1.1614083533012754e-05,0.0,False,0.0,0.00036792080481897355
17,5.3337743292624086e-05,1.0,1.0837752032875554,-5.302145919968688e-05,-5.302145919968688e-05,0.0,False,0.0,5.3337743292624086e-05
18,0.00020964216780255395,1.0,1.088775203287555,-2.0604960058147744e-06,-2.0604960058147765e-06,0.0,False,0.0,0.00020964216780255395
19,-1.61488305993983e-06,1.0,1.0937752032875552,-3.042790627654747e-05,-3.042790627654747e-05,0.0,False,0.0,-1.61488305993983e-06
20,8.506422928020119e-05,1.0,1.098775203287555,3.482169035660538e-06,3.482169035660538e-06,0.0,False,0.0,8.506422928020119e-05
21,-0.0003665904465437558,1.0,1.103775203287555,-1.2157957087378435e-05,-1.2157957087378435e-05,0.0,False,0.0,-0.0003665904465437558
22,-0.0005365064718363348,1.0,1.1087752032875549,6.248615148063725e-05,6.248615148063725e-05,0.0,False,0.0,-0.0005365064718363348
23,0.0005976319333847687,1.0,1.1137752032875547,9.16481880896992e-05,9.16481880896992e-05,0.0,False,0.0,0.0005976319333847687
24,0.0004883719309691089,1.0,1.1187752032875546,-9.227321861039612e-05,-9.227321861039612e-05,0.0,False,0.0,0.0004883719309691089
25,-0.0003757022552347033,1.0,1.1237752032875545,-7.330754711191765e-05,-7.330754711191765e-05,0.0,False,0.0,-0.0003757022552347033
26,-0.0007442274633947983,1.0,1.1287752032875547,6.458948847373012e-05,6.458948847373015e-05,0.0,False,0.0,-0.0007442274633947983
27,-0.00046650547106937836,1.0,1.1337752032875545,0.00012433725046343005,0.00012433725046343005,0.0,False,0.0,-0.00046650547106937836
28,-0.00012865236213122454,1.0,1.1387752032875544,8.346652312239775e-05,8.346652312239775e-05,0.0,False,0.0,-0.00012865236213122454
29,-0.00032343375914451416,1.0,1.1437752032875543,3.371429370331052e-05,3.371429370331052e-05,0.0,False,0.0,-0.00032343375914451416
30,-0.0011248657914318687,1.0,1.148775203287554,6.936164788245777e-05,6.936164788245777e-05,0.0,False,0.0,-0.0011248657914318687
31,-0.00024340921168441635,1.0,1.1537752032875541,0.00020446501445152402,0.00020446501445152402,0.0,False,0.0,-0.00024340921168441635
32,-0.000672529612156244,1.0,1.158775203287554,6.458328793404148e-05,6.458328793404145e-05,0.0,False,0.0,-0.000672529612156244
33,4.110112726132104e-05,1.0,1.1637752032875541,0.00014354010600769378,0.00014354010600769378,0.0,False,0.0,4.110112726132104e-05
34,0.0006857292472168014,1.0,1.168775203287554,2.9227976983109434e-05,2.922797698310945e-05,0.0,False,0.0,0.0006857292472168014
35,0.050382918103086344,1.0,1.173775203287554,0.049726090482234385,0.049726090482234385,0.0,False,0.3,-0.24961708189691365
36,0.041280226765035545,1.0,1.1787752032875538,-0.007126632391592388,-0.007126632391592396,0.0,False,0.0,0.041280226765035545
37,0.036106931367220034,1.0,1.183775203287554,-0.004021231677371602,-0.004021231677371602,0.0,False,0.0,0.036106931367220034
38,0.03080884506933428,1.0,1.1887752032875538,-0.003629883057012887,-0.003629883057012887,0.0,False,0.0,0.03080884506933428
39,0.02617160839322355,1.0,1.1937752032875535,-0.003142509817622945,-0.003142509817622945,0.0,False,0.0,0.02617160839322355
40,0.021893401860935194,1.0,1.1987752032875536,-0.0027126054978692214,-0.0027126054978692214,0.0,False,0.0,0.021893401860935194
41,0.018030046877381477,1.0,1.2037752032875535,-0.002291962717498254,-0.002291962717498254,0.0,False,0.0,0.018030046877381477
42,0.015737167556854767,1.0,1.2087752032875534,-0.0018952490480314194,-0.0018952490480314194,0.0,False,0.0,0.015737167556854767
43,0.014078384701289996,1.0,1.2137752032875533,-0.0017181116794991226,-0.0017181116794991226,0.0,False,0.0,0.014078384701289996
44,0.010855036820643657,1.0,1.2187752032875534,-0.0016138826769670782,-0.0016138826769670782,0.0,False,0.0,0.010855036820643657
45,0.008870332351056965,1.0,1.223775203287553,-0.0012295434729260749,-0.0012295434729260749,0.0,False,0.0,0.008870332351056965
46,0.008105076020585963,1.0,1.228775203287553,-0.0010279729864649983,-0.0010279729864649983,0.0,False,0.0,0.008105076020585963
47,0.005475668560406807,1.0,1.233775203287553,-0.001001551985934902,-0.001001551985934902,0.0,False,0.0,0.005475668560406807
48,0.004754717465078435,1.0,1.238775203287553,-0.0006507126457338478,-0.0006507126457338478,0.0,False,0.0,0.004754717465078435
49,0.0036768407496893638,1.0,1.243775203287553,-0.0006015678942744811,-0.0006015678942744811,0.0,False,0.0,0.0036768407496893638
